entity_id	result_ut	valid	rejected	polled	electors	PA	UNP	JVP	SMBP	LDA	SLMP	Liberal	Ind 1	Ind 2	PLSF	Ind 3	DUNF	PFF
EC-06C	915162240	49863	1461	51324	58213	29000	18426	1572	131	51	68	143	140	158	71	54	21	28
EC-06D	915162000	49421	1366	50787	64127	23312	23685	1299	142	158	67	186	168	198	80	63	30	33
EC-06P	915156600	4786	92	4878	4878	2333	2088	285	21	47	3	0	3	3	2	0	1	0
EC-07	915164760	512019	9716	521735	673785	281154	195906	27257	1592	952	651	907	968	1227	663	357	175	210
EC-07A	915158460	32800	539	33339	45790	17524	13372	1466	101	60	37	53	54	75	29	9	12	8
EC-07B	915160320	44171	880	45051	58545	24642	16358	2595	141	84	55	55	62	78	47	32	9	13
EC-07C	915159540	41133	857	41990	56502	22445	14882	3157	115	55	51	51	103	144	65	30	19	16
EC-07D	915163680	56795	991	57786	75271	31626	21196	3128	169	82	69	119	125	115	76	44	22	24
EC-07E	915164760	65109	873	65982	78752	35712	25292	3183	95	50	75	152	135	174	110	59	24	48
EC-07F	915164340	60496	1145	61641	76860	34097	22969	2406	167	91	82	148	136	191	91	56	22	40
EC-07G	915162300	50698	749	51447	68503	28404	19134	2497	144	79	32	88	91	104	74	26	10	15
EC-07H	915160860	44978	1000	45978	63300	22008	20042	2207	225	112	119	61	63	64	37	18	15	7
EC-07I	915163080	53461	1070	54531	69229	30327	19749	2602	150	124	69	81	91	129	62	41	20	16
EC-07J	915162060	49704	1086	50790	67833	28137	18064	2727	161	92	55	97	94	135	67	40	15	20
EC-07P	915157620	12674	526	13200	13200	6232	4848	1289	124	123	7	2	14	18	5	2	7	3
EC-08	915163620	378638	8583	387221	524002	205685	139677	26229	1539	670	639	997	891	1042	543	332	192	202
EC-08A	915163380	55055	1464	56519	74409	29229	21400	3108	207	95	116	223	157	251	111	75	38	45
EC-08B	915163020	53161	983	54144	75156	29115	19464	3471	194	54	85	170	192	199	92	57	36	32
EC-08C	915163620	56680	1090	57770	76916	30040	21330	4231	195	72	99	182	145	154	100	58	34	40
EC-08D	915162120	50054	887	50941	70157	28515	17689	2997	201	68	68	147	106	126	50	41	22	24
EC-08E	915161880	49495	963	50458	68296	25363	18844	4539	155	84	56	107	100	99	62	47	24	15
EC-08F	915162780	51743	1790	53533	72593	28865	18743	3273	276	156	94	72	72	86	54	19	15	18
EC-08G	915163260	54674	1027	55701	78320	30939	19183	3674	219	67	116	87	114	123	71	35	20	26
EC-08P	915157020	7776	379	8155	8155	3619	3024	936	92	74	5	9	5	4	3	0	3	2
EC-09	915166380	253678	5375	259053	356394	120275	95088	33739	733	483	346	729	691	700	421	192	160	121
EC-09A	915163200	53664	1389	55053	78596	24728	21426	6298	187	125	68	198	180	227	108	47	38	34
EC-09B	915161700	49130	919	50049	68349	24492	18140	5691	136	81	69	116	101	118	80	40	37	29
EC-09C	915164640	63214	1222	64436	89147	29828	22431	9887	171	119	72	181	149	174	98	43	39	22
EC-09D	915166380	82255	1675	83930	114717	39021	30983	10865	202	121	134	229	249	180	130	61	45	35
EC-09P	915156720	5415	170	5585	5585	2206	2108	998	37	37	3	5	12	1	5	1	1	1
EC-10	915157800	111568	5981	117549	613718	52043	48005	413	818	3394	1041	1368	831	1873	487	552	343	403
EC-10A	915156960	7617	419	8036	50885	3377	3580	50	40	154	84	62	45	108	34	31	20	32
EC-10B	915157680	12760	767	13527	58350	6854	4232	53	139	466	125	228	127	293	71	77	49	49
EC-10C	915157140	8606	321	8927	61514	5324	2271	24	93	208	90	158	81	197	58	49	28	25
EC-10D	915157800	15691	714	16405	62002	9194	5003	57	115	386	126	191	104	311	73	55	36	40
EC-10E	915157740	14273	577	14850	58751	6607	5941	49	133	332	161	265	122	335	84	111	55	78
EC-10F	915157500	11669	737	12406	53545	4664	5685	44	72	417	88	138	118	210	53	88	41	51
EC-10G	915157080	8118	453	8571	42304	3062	4270	33	58	258	80	72	65	95	34	32	28	31
EC-10H	915157560	12098	1059	13157	53247	3430	7494	68	77	356	158	109	84	127	33	51	49	62
EC-10I	915157320	10778	384	11162	63799	5125	4834	18	54	328	47	95	49	113	29	41	21	24
EC-10J	915156900	7113	314	7427	51581	3471	3263	11	22	151	46	28	25	57	14	10	8	7
EC-10K	915156240	2016	117	2133	56792	593	1262	6	12	33	31	22	11	26	3	6	8	3
EC-10P	915156120	829	119	948	948	342	170	0	3	305	5	0	0	1	1	1	0	1
EC-11	915158760	62690	1490	64180	206176	16202	43803	482	93	444	306	456	234	420	83	69	40	58
EC-11A	915158100	24637	446	25083	65883	8446	15407	34	35	120	113	128	91	156	39	21	16	31
EC-11B	915158760	36282	968	37250	86970	6845	27621	427	55	293	178	326	142	257	42	45	24	27
EC-11C	915156180	1182	30	1212	52688	751	389	15	2	4	9	1	1	6	2	2	0	0
EC-11P	915156060	589	46	635	635	160	386	6	1	27	6	1	0	1	0	1	0	0
EC-12	915166320	170131	3747	173878	272465	58975	104100	290	250	884	750	1838	784	1528	331	234	78	89
EC-12A	915161460	47127	1043	48170	76988	21939	22614	70	95	183	288	665	381	623	130	86	27	26
EC-12B	915166320	81098	1750	82848	124480	29523	48700	159	100	406	394	687	269	550	148	89	32	41
EC-12C	915159240	39723	869	40592	68729	6962	31295	53	54	200	37	484	132	354	53	59	18	22
EC-12P	915156300	2183	85	2268	2268	551	1491	8	1	95	31	2	2	1	0	0	1	0
EC-13	915166800	269100	4549	273649	348712	149593	109805	3822	344	473	663	1193	823	1275	519	171	93	80
EC-13A	915166800	93446	1538	94984	121407	48385	39712	3275	206	93	94	496	364	497	172	79	36	37
EC-13B	915160800	45154	701	45855	56629	28822	15225	86	34	152	137	219	115	191	120	34	8	11
EC-13C	915159840	42924	707	43631	55387	23773	18390	34	18	79	129	136	112	149	65	22	7	10
EC-13D	915166440	82916	1360	84276	110386	46341	34407	427	76	116	284	339	231	437	162	34	40	22
EC-13P	915156660	4660	243	4903	4903	2272	2071	0	10	33	19	3	1	1	0	2	2	0
EC-14	915160260	126081	2642	128723	205116	56691	63351	2307	218	476	599	713	477	735	245	128	72	69
EC-14A	915158940	37808	586	38394	57634	20781	14551	1515	90	37	73	202	181	236	65	35	21	21
EC-14B	915160260	43754	1227	44981	77484	13807	28061	573	74	304	201	201	130	224	71	51	30	27
EC-14C	915159600	41324	716	42040	66690	20908	18987	120	44	34	298	307	165	274	108	41	18	20
EC-14P	915156360	3195	113	3308	3308	1195	1752	99	10	101	27	3	1	1	1	1	3	1
EC-15	915164700	743519	15272	758791	1000624	377483	326327	27354	2704	1011	1355	1660	1671	1889	872	578	314	301
EC-15A	915164040	58570	1068	59638	79147	31610	23395	2645	111	55	75	176	166	186	85	43	6	17
EC-15B	915162840	52383	1191	53574	72758	26123	23694	1789	135	53	75	124	125	125	62	35	24	19
EC-15C	915164700	63499	1269	64768	86938	31252	28525	2714	151	70	65	166	149	206	95	58	24	24
EC-15D	915162900	52129	1535	53664	74632	24366	24589	2101	240	70	104	165	136	156	70	60	44	28
EC-15E	915160740	44869	965	45834	59601	24187	18163	1847	133	78	55	80	106	103	47	25	21	24
EC-15F	915160020	43252	835	44087	58677	22991	18484	1197	103	32	58	99	74	101	53	34	15	11
EC-15G	915162720	52701	789	53490	68736	27022	23876	1143	129	55	64	85	96	112	53	35	13	18
EC-15H	915163920	58275	718	58993	75795	31996	23680	1824	184	48	77	93	116	124	57	37	21	18
EC-15I	915163980	58100	977	59077	77629	28350	27228	1662	180	60	120	113	106	136	50	44	23	28
EC-15J	915163860	57867	1082	58949	75865	30403	24457	2158	214	58	72	111	110	128	66	45	19	26
EC-15K	915161040	45579	908	46487	61882	22890	20537	1353	230	58	84	84	98	114	50	37	17	27
EC-15L	915161640	48914	1101	50015	66346	23715	22450	1700	355	112	147	106	113	100	50	27	17	22
EC-15M	915161520	48353	995	49348	67307	23463	21972	1838	217	71	250	106	115	158	54	51	35	23
EC-15N	915159300	39821	1147	40968	55412	19594	17011	2283	137	95	102	147	154	140	74	44	24	16
EC-15P	915158040	19207	692	19899	19899	9521	8266	1100	185	96	7	5	7	0	6	3	11	0
EC-16	915164460	275339	5778	281117	408331	141725	121615	7876	614	445	481	599	589	741	308	164	88	94
EC-16A	915161940	49432	1202	50634	80531	20842	26894	701	71	106	182	155	144	203	66	38	12	18
EC-16B	915163560	56416	1199	57615	83322	30542	22733	2216	131	49	58	195	154	176	87	38	22	15
EC-16C	915164460	61383	1309	62692	87891	31998	26708	1813	116	90	90	100	137	187	58	37	21	28
EC-16D	915161340	47092	846	47938	68620	26152	19079	1285	111	68	96	69	63	66	48	24	15	16
EC-16E	915163740	56881	1076	57957	83686	30149	24449	1583	166	100	48	80	89	108	48	27	17	17
EC-16P	915156480	4135	146	4281	4281	2042	1752	278	19	32	7	0	2	1	1	0	1	0
EC-17	915165360	349201	6949	356150	470907	189073	139180	14612	902	394	670	1065	963	1176	600	271	166	129
EC-17A	915160380	44323	745	45068	62120	24878	16742	1875	98	30	67	142	138	180	92	41	15	25
EC-17B	915159900	43087	690	43777	58774	23075	17732	1579	69	29	76	137	94	170	65	25	21	15
EC-17C	915161820	49134	1015	50149	69006	25187	20153	2996	174	77	98	103	105	127	63	25	19	7
EC-17D	915162600	52420	991	53411	73549	25850	23492	2015	150	33	166	166	157	177	129	44	21	20
EC-17E	915165360	69765	1503	71268	90631	42154	23388	2845	187	119	89	227	242	248	138	63	36	29
EC-17F	915158640	34693	743	35436	46770	18131	14393	1508	77	31	72	136	102	131	43	32	21	16
EC-17G	915160620	44704	964	45668	58684	23631	19151	1144	87	44	97	146	121	141	64	36	26	16
EC-17P	915157380	11075	298	11373	11373	6167	4129	650	60	31	5	8	4	2	6	5	7	1
EC-18	915165780	172007	3151	175158	224239	88663	72598	8020	381	165	240	542	392	541	247	116	65	37
EC-18A	915161160	46376	859	47235	61803	24141	18627	2849	119	51	60	140	107	149	66	28	26	13
EC-18B	915161100	46129	736	46865	60171	23395	20345	1709	95	33	55	132	94	135	86	32	10	8
EC-18C	915165780	76249	1473	77722	98929	39372	32472	3165	146	65	125	269	189	257	92	55	26	16
EC-18P	915156420	3253	83	3336	3336	1755	1154	297	21	16	0	1	2	0	3	1	3	0
EC-19	915162420	360421	10979	371400	474610	167000	172884	12025	1177	589	915	1652	1234	1499	554	495	203	194
EC-19A	915162420	50418	1308	51726	65925	19750	27638	1757	133	46	54	400	199	260	62	69	24	26
EC-19B	915158340	28369	958	29327	38978	13336	13003	957	116	49	68	230	193	218	56	82	32	29
EC-19C	915158820	36371	1222	37593	48066	16558	18124	748	95	64	61	205	155	189	67	54	28	23
EC-19D	915158400	31098	882	31980	42591	16039	13310	1125	115	72	105	88	92	71	37	20	15	9
EC-19E	915159120	38913	1433	40346	51998	18253	18382	1384	163	39	85	154	131	142	77	57	21	25
EC-19F	915159180	39450	960	40410	49560	18433	18969	1401	72	61	54	117	88	134	55	35	15	16
EC-19G	915160200	43156	1203	44359	56170	20063	20447	1665	128	33	291	126	99	156	69	47	15	17
EC-19H	915161280	46140	1526	47666	62074	23002	20768	1339	178	87	98	150	151	164	74	74	26	29
EC-19I	915158880	36396	1210	37606	48861	16622	18053	826	103	86	92	180	121	164	52	57	23	17
EC-19P	915157200	10110	277	10387	10387	4944	4190	823	74	52	7	2	5	1	5	0	4	3
EC-20	915165900	180245	4161	184406	235252	92049	73695	10456	481	288	215	860	678	816	336	145	126	100
EC-20A	915160560	44574	1028	45602	58803	21890	19156	2337	130	78	57	294	204	247	85	43	26	27
EC-20B	915163320	54835	1489	56324	73336	30055	21049	2465	155	62	58	256	226	264	101	53	57	34
EC-20C	915165900	76301	1503	77804	98437	37950	31534	5279	176	126	99	307	248	305	148	49	41	39
EC-20P	915156540	4535	141	4676	4676	2154	1956	375	20	22	1	3	0	0	2	0	2	0
EC-21	915165960	480364	9038	489402	602172	250409	202621	16482	1392	2007	757	1687	1475	1811	727	490	247	259
EC-21A	915164100	58429	1236	59665	76327	31228	23868	1502	136	949	115	155	121	180	62	60	26	27
EC-21B	915165480	71215	1267	72482	89518	38665	29298	1914	230	202	115	176	156	245	106	45	32	31
EC-21C	915161580	48530	941	49471	58977	24995	21293	1195	172	112	76	191	170	159	76	44	20	27
EC-21D	915164520	62628	1232	63860	78239	31231	28184	1810	217	152	100	244	189	238	108	68	43	44
EC-21E	915164280	59209	1055	60264	75436	28305	28059	1552	165	97	101	253	188	257	105	71	24	32
EC-21F	915164220	59153	941	60094	70432	32193	24516	1186	145	123	100	202	206	251	83	84	31	33
EC-21G	915159000	38406	544	38950	46426	21261	15428	963	84	93	48	131	135	137	49	43	15	19
EC-21H	915165960	76559	1676	78235	100436	39343	29473	5942	195	220	101	331	305	344	133	75	52	45
EC-21P	915156840	6235	146	6381	6381	3188	2502	418	48	59	1	4	5	0	5	0	4	1
EC-22	915163500	409680	8136	417816	546038	210185	176376	14997	1730	703	814	1209	1134	1262	481	416	169	204
EC-22A	915163500	56533	1065	57598	74291	28307	25324	2005	189	51	110	122	129	125	61	66	23	21
EC-22B	915159720	41781	750	42531	57224	21032	18227	1670	206	67	70	127	106	134	51	47	20	24
EC-22C	915160140	43240	924	44164	59084	23670	16407	2314	259	85	61	104	121	105	39	32	22	21
EC-22D	915159480	41065	809	41874	54323	22909	15635	1740	204	65	52	97	118	112	56	39	16	22
EC-22E	915162480	51040	943	51983	69783	24279	23730	1938	232	72	245	138	115	150	52	47	19	23
EC-22F	915158520	34357	749	35106	46078	18314	14224	1232	117	34	63	101	78	99	44	28	10	13
EC-22G	915160440	44393	998	45391	59922	22655	19765	902	162	97	78	184	173	195	68	66	12	36
EC-22H	915160980	45529	725	46254	59827	23868	19546	1337	109	101	60	129	108	135	49	45	26	16
EC-22I	915159420	41056	801	41857	54448	19771	19062	1202	146	75	66	205	179	201	57	45	20	27
EC-22P	915157260	10686	372	11058	11058	5380	4456	657	106	56	9	2	7	6	4	1	1	1
LK-1	915166860	2437962	61761	2499723	3296745	1288323	996577	108251	15683	8105	4130	3569	4052	4093	2269	1161	931	818
LK-11	915166860	964534	29197	993731	1354025	474310	425185	44009	8209	5000	1980	1376	1370	1319	783	355	329	309
LK-12	915166500	941619	20768	962387	1247860	532796	353969	40472	4753	2102	1354	1165	1549	1495	878	420	386	280
LK-13	915165660	531809	11796	543605	694860	281217	217423	23770	2721	1003	796	1028	1133	1279	608	386	216	229
LK-2	915166920	1143111	32228	1175339	1506250	566629	521140	29315	5203	2185	2787	4041	3232	4424	1647	1313	580	615
LK-21	915166620	612811	17060	629871	811606	308187	276360	15512	3280	1065	1706	1614	1369	1775	749	639	265	290
LK-22	915165600	216310	6171	222481	292055	111232	91944	7924	902	308	550	860	747	951	343	261	139	149
LK-23	915166920	313990	8997	322987	402589	147210	152836	5879	1021	812	531	1567	1116	1698	555	413	176	176
LK-3	915166380	1144335	23674	1168009	1554181	607114	430671	87225	3864	2105	1636	2633	2550	2969	1627	881	527	533
LK-31	915164760	512019	9716	521735	673785	281154	195906	27257	1592	952	651	907	968	1227	663	357	175	210
LK-32	915163620	378638	8583	387221	524002	205685	139677	26229	1539	670	639	997	891	1042	543	332	192	202
LK-33	915166380	253678	5375	259053	356394	120275	95088	33739	733	483	346	729	691	700	421	192	160	121
LK-4	915158760	174258	7471	181729	819894	68245	91808	895	911	3838	1347	1824	1065	2293	570	621	383	461
LK-42	915158100	24637	446	25083	65883	8446	15407	34	35	120	113	128	91	156	39	21	16	31
LK-43	915158760	36282	968	37250	86970	6845	27621	427	55	293	178	326	142	257	42	45	24	27
LK-44	915156180	1182	30	1212	52688	751	389	15	2	4	9	1	1	6	2	2	0	0
LK-45	915156240	2016	117	2133	56792	593	1262	6	12	33	31	22	11	26	3	6	8	3
LK-5	915166800	565312	10938	576250	826293	265259	277256	6419	812	1833	2012	3744	2084	3538	1095	533	243	238
LK-51	915166320	170131	3747	173878	272465	58975	104100	290	250	884	750	1838	784	1528	331	234	78	89
LK-52	915166800	269100	4549	273649	348712	149593	109805	3822	344	473	663	1193	823	1275	519	171	93	80
LK-53	915160260	126081	2642	128723	205116	56691	63351	2307	218	476	599	713	477	735	245	128	72	69
LK-6	915164700	1018858	21050	1039908	1408955	519208	447942	35230	3318	1456	1836	2259	2260	2630	1180	742	402	395
LK-61	915164700	743519	15272	758791	1000624	377483	326327	27354	2704	1011	1355	1660	1671	1889	872	578	314	301
LK-62	915164460	275339	5778	281117	408331	141725	121615	7876	614	445	481	599	589	741	308	164	88	94
LK-7	915165780	521208	10100	531308	695146	277736	211778	22632	1283	559	910	1607	1355	1717	847	387	231	166
LK-71	915165360	349201	6949	356150	470907	189073	139180	14612	902	394	670	1065	963	1176	600	271	166	129
LK-72	915165780	172007	3151	175158	224239	88663	72598	8020	381	165	240	542	392	541	247	116	65	37
LK-8	915165900	540666	15140	555806	709862	259049	246579	22481	1658	877	1130	2512	1912	2315	890	640	329	294
LK-81	915162420	360421	10979	371400	474610	167000	172884	12025	1177	589	915	1652	1234	1499	554	495	203	194
LK-82	915165900	180245	4161	184406	235252	92049	73695	10456	481	288	215	860	678	816	336	145	126	100
LK-9	915165960	890044	17174	907218	1148210	460594	378997	31479	3122	2710	1571	2896	2609	3073	1208	906	416	463
LK-91	915165960	480364	9038	489402	602172	250409	202621	16482	1392	2007	757	1687	1475	1811	727	490	247	259
LK-92	915163500	409680	8136	417816	546038	210185	176376	14997	1730	703	814	1209	1134	1262	481	416	169	204
