entity_id	result_ut	valid	rejected	polled	electors	I-AMI	UPF	DNM	SLNF	USP	AACAAKO	SEP	FSP	SLLP	NDF	ULPP	I-AP	JSP	NSH	PNF	UPFA	ONF	NSSP	ULGC
EC-03	1420089420	751984	8381	760365	926346	547	559	121	80	416	178	210	695	605	349404	560	171	206	332	979	395890	808	130	93
EC-03A	1420088280	93355	1152	94507	114828	59	79	12	5	31	20	20	71	54	46820	37	10	34	33	84	45908	57	14	7
EC-03B	1420089420	110628	999	111627	133887	94	73	15	12	73	24	31	89	68	48469	75	22	36	45	154	61199	118	21	10
EC-03C	1420089000	100517	952	101469	122511	77	71	11	17	64	19	22	76	62	42065	52	22	25	48	120	57633	107	13	13
EC-03D	1420085340	66431	716	67147	82123	64	42	17	11	49	19	29	74	79	28341	78	24	11	39	123	37311	95	17	8
EC-03E	1420087920	85597	1063	86660	108996	59	76	15	8	57	20	30	96	94	38668	94	27	20	49	148	45984	114	26	12
EC-03F	1420088400	94342	905	95247	117931	48	55	12	8	43	20	25	92	60	44804	58	23	24	27	92	48851	82	6	12
EC-03G	1420088220	93540	951	94491	117033	73	79	13	4	37	28	27	93	113	53280	75	23	20	38	96	39424	88	15	14
EC-03H	1420087380	79674	1002	80676	100040	67	79	20	11	55	25	19	79	67	33995	87	18	21	53	154	44750	142	18	14
EC-03P	1420080660	27900	641	28541	28997	6	5	6	4	7	3	7	25	8	12962	4	2	15	0	8	14830	5	0	3
EC-04	1420089960	855908	10993	866901	1087542	799	1103	182	116	628	312	318	723	1028	466994	1003	328	277	554	1306	378585	1204	285	163
EC-04A	1420081620	41815	390	42205	54214	47	44	11	8	39	15	16	26	46	19818	42	22	10	30	79	21466	72	19	5
EC-04B	1420089960	123998	1356	125354	157463	108	117	19	10	82	46	35	121	148	71533	119	37	37	77	153	51156	149	31	20
EC-04C	1420085280	65480	1023	66503	85375	64	90	20	8	57	30	23	65	85	37840	90	37	27	52	101	26762	88	19	22
EC-04D	1420081860	46917	479	47396	58637	66	80	12	15	44	11	13	25	58	18472	66	14	10	36	112	27722	129	22	10
EC-04E	1420081320	37377	517	37894	47685	63	65	11	14	31	15	29	37	68	18624	49	18	11	30	80	18150	56	17	9
EC-04F	1420086600	74890	794	75684	94870	49	65	20	10	32	20	23	59	75	41238	73	24	20	41	90	32930	85	23	13
EC-04G	1420082760	53079	673	53752	69243	56	112	14	2	46	33	17	44	91	28049	95	30	17	48	106	24167	111	30	11
EC-04H	1420084440	62735	834	63569	81149	48	57	10	4	31	31	25	53	45	36127	49	18	17	31	49	26062	61	12	5
EC-04I	1420080960	30715	401	31116	40020	24	19	5	3	15	5	7	18	19	20316	23	2	7	8	26	10200	10	6	2
EC-04J	1420084620	63089	748	63837	80420	42	74	9	9	28	11	15	47	45	32298	58	16	21	35	88	30194	78	18	3
EC-04K	1420084980	64754	763	65517	82298	59	87	13	9	48	29	25	61	82	38018	61	26	19	37	87	25984	76	20	13
EC-04L	1420087500	79785	1020	80805	102219	68	161	14	11	61	37	43	65	132	45328	131	39	22	50	151	33293	130	29	20
EC-04M	1420086540	74162	1393	75555	95567	95	128	22	10	105	25	42	70	127	40233	144	42	44	74	173	32619	146	37	26
EC-04P	1420081260	37112	602	37714	38382	10	4	2	3	9	4	5	32	7	19100	3	3	15	5	11	17880	13	2	4
EC-05	1420089060	309022	3653	312675	397005	306	392	87	57	285	119	97	251	394	145928	380	152	88	241	649	158880	500	135	81
EC-05A	1420089060	101472	1074	102546	131831	90	104	25	15	66	36	27	79	92	42652	74	36	30	75	205	57657	158	24	27
EC-05B	1420083360	56178	581	56759	70323	52	59	13	10	42	22	11	39	73	21511	72	30	12	50	175	33821	136	33	17
EC-05C	1420084800	63637	773	64410	84225	77	91	11	14	72	25	28	54	101	36052	96	40	15	44	123	26684	65	36	9
EC-05D	1420085940	70812	1079	71891	93296	86	134	34	17	102	36	31	72	125	37319	134	45	28	71	141	32235	137	40	25
EC-05P	1420080060	16923	146	17069	17330	1	4	4	1	3	0	0	7	3	8394	4	1	3	1	5	8483	4	2	3
EC-06	1420090320	426766	7329	434095	547766	462	1054	152	110	729	271	291	433	1191	272605	1068	349	202	434	889	145339	846	242	99
EC-06A	1420090320	234996	3939	238935	302836	246	705	112	71	469	199	195	285	831	171578	730	250	141	282	493	57718	479	156	56
EC-06B	1420084200	61099	1018	62117	78068	62	93	16	14	87	27	27	44	133	36343	115	38	19	42	97	23821	92	19	10
EC-06C	1420082940	53956	1064	55020	71053	79	97	12	13	86	18	21	39	97	25645	85	23	17	51	122	27389	113	35	14
EC-06D	1420084860	63924	1052	64976	82193	72	155	12	12	84	26	44	64	128	32340	136	38	21	56	171	30354	161	32	18
EC-06P	1420079640	12791	256	13047	13616	3	4	0	0	3	1	4	1	2	6699	2	0	4	3	6	6057	1	0	1
EC-07	1420087680	677811	6516	684327	850549	612	597	143	90	392	169	190	835	498	293994	462	193	199	278	995	377126	755	185	98
EC-07A	1420081440	39831	388	40219	52852	39	38	4	7	18	10	18	25	27	16196	20	13	14	20	60	23283	32	4	3
EC-07B	1420083720	59604	635	60239	75524	46	55	14	9	28	14	17	78	41	26187	30	20	15	32	78	32871	51	11	7
EC-07C	1420083300	55410	541	55951	72572	53	55	14	2	31	11	17	129	44	19752	38	17	20	20	109	34983	88	21	6
EC-07D	1420085880	71110	574	71684	89500	79	82	20	11	48	19	17	119	38	28287	41	18	20	28	108	42015	123	27	10
EC-07E	1420087680	82428	790	83218	100757	78	87	17	15	68	25	26	78	83	34022	63	26	22	35	171	47464	106	28	14
EC-07F	1420086960	76667	941	77608	95641	108	68	17	12	58	23	20	95	56	32347	81	33	21	37	133	43369	141	31	17
EC-07G	1420083780	59783	480	60263	78182	49	46	16	8	44	15	18	55	50	23038	34	16	4	18	77	36209	57	21	8
EC-07H	1420084560	63190	447	63637	79685	41	41	9	8	22	14	22	46	57	39547	53	14	24	17	48	23184	24	14	5
EC-07I	1420086660	75054	738	75792	94175	44	66	16	7	34	19	17	74	47	34807	56	17	27	33	105	39604	57	16	8
EC-07J	1420084920	64603	572	65175	80778	72	52	11	9	31	17	16	96	48	25932	43	15	15	32	92	38028	64	12	18
EC-07P	1420080780	30131	410	30541	30883	3	7	5	2	10	2	2	40	7	13879	3	4	17	6	14	16116	12	0	2
EC-08	1420087140	515150	4891	520041	648213	384	356	107	82	294	129	133	352	448	212435	373	138	166	231	804	297823	662	140	93
EC-08A	1420087140	77138	990	78128	97610	95	95	28	15	70	33	32	90	102	31716	84	28	23	59	182	44273	145	51	17
EC-08B	1420086180	72695	748	73443	91791	66	56	17	10	63	19	23	70	80	25164	67	26	27	41	144	46635	145	28	14
EC-08C	1420086360	74285	575	74860	93769	71	58	16	8	45	15	23	37	66	30647	72	23	22	40	138	42860	116	14	14
EC-08D	1420084740	63560	639	64199	81524	39	38	10	18	35	10	10	38	45	22939	36	14	16	26	103	40084	72	14	13
EC-08E	1420084020	60339	473	60812	78690	35	29	8	16	21	17	19	30	45	24092	32	9	9	21	79	35795	68	12	2
EC-08F	1420085820	69836	652	70488	86984	25	24	15	5	21	16	10	30	50	35248	34	16	31	20	52	34191	34	6	8
EC-08G	1420086300	73545	534	74079	93450	46	52	11	7	33	18	12	35	56	32247	45	19	26	20	99	40715	71	15	18
EC-08P	1420080420	23752	280	24032	24395	7	4	2	3	6	1	4	22	4	10382	3	3	12	4	7	13270	11	0	7
EC-09	1420090080	386076	3351	389427	479433	322	376	83	57	242	97	85	267	307	138708	301	102	116	253	734	243295	565	105	61
EC-09A	1420087560	80837	658	81495	100711	63	78	20	14	64	31	16	68	75	27601	65	24	25	81	205	52202	155	30	20
EC-09B	1420084260	62083	553	62636	78234	64	65	20	9	39	14	15	28	44	21912	57	12	26	30	107	39513	93	25	10
EC-09C	1420088640	96248	851	97099	120148	63	85	15	9	53	17	16	76	60	32598	60	29	31	67	162	62739	136	21	11
EC-09D	1420090080	130935	1102	132037	163818	129	147	28	24	79	35	36	82	128	50977	116	36	27	73	250	78546	176	28	18
EC-09P	1420079940	15973	187	16160	16522	3	1	0	1	7	0	2	13	0	5620	3	1	7	2	10	10295	5	1	2
EC-10	1420083240	340751	10038	350789	546265	978	1620	360	178	975	568	615	610	1398	253574	942	508	329	677	978	74454	1150	623	214
EC-10A	1420079820	14678	495	15173	22057	38	67	16	8	34	11	63	26	70	8144	33	18	19	30	51	5959	55	22	14
EC-10B	1420080900	29997	1043	31040	47621	107	163	30	22	122	66	90	78	133	20873	102	55	39	67	78	7791	108	50	23
EC-10C	1420080540	25616	822	26438	63217	94	169	40	15	105	58	40	51	125	18729	77	59	42	61	87	5705	102	38	19
EC-10D	1420081200	35627	960	36587	54567	137	155	44	16	128	69	60	69	178	26958	103	63	43	71	96	7225	123	69	20
EC-10E	1420081140	35074	1138	36212	55891	114	213	51	33	118	93	77	89	193	27161	156	56	41	88	105	6211	180	73	22
EC-10F	1420080360	23052	574	23626	39204	82	125	30	14	50	45	53	43	108	18137	65	44	24	59	79	3937	93	47	17
EC-10G	1420080240	22320	576	22896	36138	49	96	22	7	47	28	18	38	87	17388	59	36	11	44	59	4213	65	41	12
EC-10H	1420081020	30456	953	31409	51702	97	215	29	14	96	62	51	69	142	23520	81	51	29	76	127	5599	123	56	19
EC-10I	1420081080	31212	660	31872	46699	74	112	34	11	79	44	35	40	110	24929	67	44	22	34	55	5405	52	50	15
EC-10J	1420080300	23096	423	23519	33050	41	71	15	8	66	33	24	31	81	17994	40	14	11	33	52	4502	41	27	12
EC-10K	1420083240	53886	1940	55826	79093	123	215	39	26	115	56	92	66	161	38856	149	63	41	106	180	13300	184	77	37
EC-10P	1420080000	15737	454	16191	17026	22	19	10	4	15	3	12	10	10	10885	10	5	7	8	9	4607	24	73	4
EC-11	1420086420	180225	3416	183641	261422	356	563	113	68	300	133	216	191	574	141417	453	114	72	235	358	34377	400	218	67
EC-11A	1420082880	53500	895	54395	79433	78	160	29	19	100	32	57	44	159	45543	136	32	23	61	68	6824	74	46	15
EC-11B	1420086420	74080	1371	75451	109705	146	212	45	26	128	57	78	74	213	55683	164	53	30	91	148	16678	143	91	20
EC-11C	1420081800	44889	1052	45941	63920	124	185	37	23	67	44	78	68	195	35441	151	29	19	81	135	7935	176	69	32
EC-11P	1420079460	7756	98	7854	8364	8	6	2	0	5	0	3	5	7	4750	2	0	0	2	7	2940	7	12	0
EC-12	1420089900	256586	2580	259166	373982	323	698	108	74	258	157	180	306	882	209422	641	187	89	370	522	41631	441	238	59
EC-12A	1420086120	72075	747	72822	105056	64	154	25	20	59	37	38	63	259	60342	208	47	15	84	135	10337	114	55	19
EC-12B	1420089900	121637	1106	122743	172499	153	276	51	32	116	81	87	156	351	97779	269	86	42	168	226	21473	165	104	22
EC-12C	1420083000	54412	627	55039	87612	98	262	31	22	81	38	55	83	266	44485	163	54	31	118	160	8216	160	71	18
EC-12P	1420079520	8462	100	8562	8815	8	6	1	0	2	1	0	4	6	6816	1	0	1	0	1	1605	2	8	0
EC-13	1420090020	357817	2625	360442	488067	187	356	55	36	197	88	69	234	543	233360	438	117	57	169	446	121027	307	92	39
EC-13A	1420090020	125064	911	125975	161999	30	55	10	15	46	21	19	104	81	47658	77	23	21	50	238	76409	166	28	13
EC-13B	1420083180	55333	412	55745	80357	38	92	13	7	48	20	14	35	124	46827	121	26	14	33	55	7797	42	19	8
EC-13C	1420082280	50561	342	50903	71254	24	61	12	5	31	14	11	26	94	45411	68	14	9	31	26	4683	22	12	7
EC-13D	1420089180	105148	802	105950	152147	86	140	19	7	65	31	24	63	235	81547	165	52	11	53	113	22425	74	29	9
EC-13P	1420080180	21711	158	21869	22310	9	8	1	2	7	2	1	6	9	11917	7	2	2	2	14	9713	3	4	2
EC-14	1420085220	195356	1805	197161	271953	169	327	44	36	214	89	88	270	387	140338	341	99	52	164	263	52111	237	89	38
EC-14A	1420082400	52261	442	52703	74070	35	60	9	14	44	18	18	118	70	24833	63	13	5	44	102	26716	75	14	10
EC-14B	1420084500	62759	816	63575	86978	77	113	21	14	97	42	34	60	140	49650	114	53	26	55	74	12056	77	38	18
EC-14C	1420085220	65719	461	66180	95804	46	142	14	7	70	26	36	71	174	57532	160	31	20	62	76	7132	79	31	10
EC-14P	1420079760	14617	86	14703	15101	11	12	0	1	3	3	0	21	3	8323	4	2	1	3	11	6207	6	6	0
EC-15	1420087980	1041624	9285	1050909	1333377	682	839	177	102	457	173	196	465	724	476602	637	216	228	441	1374	556868	1138	181	124
EC-15A	1420087260	78530	602	79132	103488	44	53	8	7	35	11	10	24	63	31027	50	14	10	45	139	46848	109	25	8
EC-15B	1420086060	72143	658	72801	94910	62	73	16	5	32	12	10	20	67	31444	57	9	7	34	138	40015	121	8	13
EC-15C	1420087980	86090	654	86744	113858	54	71	16	9	38	12	17	30	73	36058	65	18	11	49	125	49289	126	16	13
EC-15D	1420086240	73148	847	73995	97886	48	70	12	7	35	16	27	24	70	33944	60	14	18	35	112	38538	94	15	9
EC-15E	1420083660	59564	448	60012	76817	52	47	13	9	25	12	8	33	31	24562	28	15	15	31	88	34499	73	16	7
EC-15F	1420083420	57776	403	58179	74100	31	47	12	5	23	10	10	21	35	25172	35	10	4	21	68	32197	60	10	5
EC-15G	1420085400	69222	517	69739	88306	41	36	12	9	28	6	14	30	47	31166	42	12	14	29	83	37574	58	13	8
EC-15H	1420086900	76163	768	76931	94505	48	69	8	11	25	14	15	41	49	33655	36	9	12	24	87	41990	53	13	4
EC-15I	1420087080	77294	568	77862	100474	70	89	18	3	37	13	15	59	45	37528	47	20	13	34	91	39115	82	6	9
EC-15J	1420086480	74891	621	75512	94560	46	39	13	3	30	8	6	29	40	32964	35	17	11	29	106	41422	72	13	8
EC-15K	1420083900	59919	435	60354	77321	39	55	8	10	25	16	16	22	38	28365	29	15	19	20	69	31108	55	7	3
EC-15L	1420085760	69815	583	70398	89332	32	51	10	8	37	5	9	32	48	37895	47	21	25	23	72	31429	49	10	12
EC-15M	1420085640	69481	834	70315	90682	50	62	16	7	40	20	20	40	64	35591	51	20	19	34	92	33243	82	17	13
EC-15N	1420082580	52409	512	52921	70204	47	63	10	7	34	13	11	33	46	23847	45	17	20	26	79	28010	85	10	6
EC-15P	1420085160	65179	835	66014	66934	18	14	5	2	13	5	8	27	8	33384	10	5	30	7	25	31591	19	2	6
EC-16	1420088160	403850	4300	408150	562984	380	437	81	43	270	107	117	306	406	202073	339	94	69	148	579	197751	491	85	74
EC-16A	1420087860	84277	1151	85428	125702	125	161	20	10	98	43	32	50	156	58844	131	31	17	43	107	24235	123	29	22
EC-16B	1420087800	84093	778	84871	112978	63	88	16	7	40	13	18	59	62	31026	67	16	9	31	168	52225	149	23	13
EC-16C	1420088160	86985	985	87970	118171	84	84	16	12	64	27	31	68	91	42187	65	16	19	28	146	43928	91	14	14
EC-16D	1420084680	63539	558	64097	89975	52	50	8	9	30	9	20	40	52	29934	33	12	11	23	76	33119	50	7	4
EC-16E	1420086780	75339	722	76061	106183	50	54	20	5	37	14	15	82	42	35218	43	18	9	22	82	39523	75	11	19
EC-16P	1420079580	9617	106	9723	9975	6	0	1	0	1	1	1	7	3	4864	0	1	4	1	0	4721	3	1	2
EC-17	1420088700	524633	4500	529133	680877	372	548	76	58	288	86	104	324	469	238407	464	129	98	245	901	281161	685	113	105
EC-17A	1420084080	60620	426	61046	81996	36	71	8	5	28	11	10	22	49	24261	47	18	8	28	121	35772	99	12	14
EC-17B	1420083960	60201	468	60669	81099	46	72	9	8	63	10	9	36	82	27662	67	15	9	32	109	31847	97	14	14
EC-17C	1420086720	75347	651	75998	97576	46	61	8	11	32	11	19	61	53	35779	46	14	16	36	110	38947	76	12	9
EC-17D	1420087020	76957	720	77677	102691	72	92	12	6	42	20	13	34	82	33791	79	20	16	39	148	42349	103	23	16
EC-17E	1420088700	96580	771	97351	125162	59	88	14	13	47	14	26	75	89	41612	112	22	18	47	172	54008	130	16	18
EC-17F	1420082160	49390	406	49796	64778	26	54	10	7	24	4	12	36	41	22860	45	17	5	31	88	26032	78	10	10
EC-17G	1420084320	62666	559	63225	83431	56	87	13	4	46	14	13	42	60	29410	62	21	13	22	122	32563	78	21	19
EC-17P	1420081680	42872	499	43371	44144	31	23	2	4	6	2	2	18	13	23032	6	2	13	10	31	19643	24	5	5
EC-18	1420089660	255996	1790	257786	321338	107	166	40	22	129	53	43	336	257	147974	298	59	44	103	370	105640	292	36	27
EC-18A	1420085040	65198	491	65689	83395	37	38	10	8	35	23	14	120	61	32744	58	12	14	28	137	31747	91	10	11
EC-18B	1420084140	61007	307	61314	77505	28	36	10	1	32	9	8	60	60	32875	73	10	14	14	73	27623	73	5	3
EC-18C	1420089660	115935	850	116785	146225	35	82	20	13	56	19	20	145	130	72875	165	35	15	58	149	41961	123	21	13
EC-18P	1420079700	13856	142	13998	14213	7	10	0	0	6	2	1	11	6	9480	2	2	1	3	11	4309	5	0	0
EC-19	1420086840	507070	7871	514941	647628	670	1038	153	106	563	249	244	502	748	249524	723	261	170	383	1052	249243	1052	265	124
EC-19A	1420086840	75351	930	76281	95715	91	151	27	14	71	23	18	38	71	31495	90	23	9	60	191	42718	213	33	15
EC-19B	1420081380	39379	822	40201	51295	53	82	14	7	36	21	14	38	61	15128	51	17	14	41	110	23518	112	31	31
EC-19C	1420082040	46996	900	47896	62901	96	186	23	8	75	36	37	69	125	25598	122	33	19	50	132	20202	128	48	9
EC-19D	1420081740	43234	630	43864	55185	41	61	6	5	43	22	16	47	47	22659	45	15	11	17	68	20062	51	13	5
EC-19E	1420083060	54322	1040	55362	69909	85	118	33	23	71	35	30	49	111	27797	92	50	34	53	149	25420	126	37	9
EC-19F	1420082100	48966	621	49587	62689	45	71	10	11	58	23	20	56	81	22894	70	20	19	29	101	25337	91	18	12
EC-19G	1420083480	58075	664	58739	74436	71	115	7	10	55	20	29	56	56	29431	57	23	18	30	93	27874	91	27	12
EC-19H	1420085100	64981	966	65947	83147	95	106	13	12	66	29	33	63	69	32766	92	34	22	54	105	31272	122	21	7
EC-19I	1420082220	49507	874	50381	65209	80	141	17	10	79	36	44	62	123	28725	101	46	18	41	97	19725	107	33	22
EC-19P	1420080600	26259	424	26683	27142	13	7	3	6	9	4	3	24	4	13031	3	0	6	8	6	13115	11	4	2
EC-20	1420089840	281116	3449	284565	356146	214	275	51	28	210	65	43	240	223	105276	237	77	66	158	567	172745	508	90	43
EC-20A	1420084380	62565	775	63340	83003	62	87	14	7	61	16	14	72	61	23704	81	19	17	46	140	37987	138	28	11
EC-20B	1420087620	81716	1113	82829	107678	62	93	16	12	68	18	17	41	78	30381	54	33	24	46	179	50408	150	22	14
EC-20C	1420089840	120988	1349	122337	149116	88	89	21	9	77	29	12	120	80	43678	98	25	24	65	241	76069	210	38	15
EC-20P	1420079880	15847	212	16059	16349	2	6	0	0	4	2	0	7	4	7513	4	0	1	1	7	8281	10	2	3
EC-21	1420089480	680084	7656	687740	831712	588	696	165	130	545	206	230	516	787	292514	750	245	198	492	1379	379053	1217	253	120
EC-21A	1420087200	78443	638	79081	96170	42	58	17	8	52	19	22	50	65	32106	58	16	18	44	140	45606	92	26	4
EC-21B	1420088940	99552	1074	100626	121108	85	71	21	14	52	21	21	46	87	43608	90	27	31	53	169	54989	134	19	14
EC-21C	1420085520	69062	834	69896	83934	67	91	23	17	64	26	38	42	99	33095	109	28	28	51	137	34975	118	33	21
EC-21D	1420088100	86474	1009	87483	106575	82	102	23	23	69	32	36	79	112	40501	114	43	28	59	168	44798	151	40	14
EC-21E	1420087740	82589	1023	83612	102618	93	113	27	20	86	27	29	62	136	38366	115	31	25	74	209	42940	183	35	18
EC-21F	1420087440	79772	956	80728	96156	96	110	26	20	99	43	37	58	126	32188	107	37	24	83	202	46275	179	43	19
EC-21G	1420082640	52580	511	53091	62773	48	45	10	9	44	15	21	51	54	19508	55	31	14	43	138	32336	127	22	9
EC-21H	1420089480	110636	1285	111921	140748	73	104	17	17	73	22	26	115	105	44089	102	30	23	84	207	65270	223	35	21
EC-21P	1420080120	20976	326	21302	21630	2	2	1	2	6	1	0	13	3	9053	0	2	7	1	9	11864	10	0	0
EC-22	1420085700	536771	6515	543286	680414	528	542	122	87	357	167	181	590	603	252533	572	190	136	247	837	278130	719	137	93
EC-22A	1420085700	69672	715	70387	87800	62	72	12	7	35	21	16	51	60	32163	66	21	17	18	108	36838	76	13	16
EC-22B	1420082460	51911	855	52766	67375	66	58	13	9	33	13	15	76	56	22699	46	20	9	28	80	28608	59	10	13
EC-22C	1420083120	54827	630	55457	71183	51	43	9	5	29	12	17	71	39	23853	29	17	17	20	66	30452	76	11	10
EC-22D	1420082340	50628	457	51085	65337	49	37	9	11	38	16	8	46	48	22690	53	18	12	21	80	27400	75	9	8
EC-22E	1420085580	69389	778	70167	90627	77	87	20	9	41	30	18	71	85	40066	75	28	23	22	79	28561	77	16	4
EC-22F	1420081500	40641	417	41058	53207	59	56	16	5	31	10	13	57	54	19297	51	18	9	30	91	20742	77	19	6
EC-22G	1420083600	58703	809	59512	74244	39	66	12	17	55	15	43	52	107	26970	104	21	18	36	116	30890	103	24	15
EC-22H	1420083540	58581	577	59158	73498	68	65	15	6	37	22	17	71	64	26984	60	15	9	24	98	30922	76	18	10
EC-22I	1420082820	53172	717	53889	66607	46	54	15	14	49	25	30	66	86	23648	85	30	17	43	104	28741	93	17	9
EC-22P	1420080720	29247	560	29807	30536	11	4	1	4	9	3	4	29	4	14163	3	2	5	5	15	14976	7	0	2
LK-1	1420090260	3390840	38362	3429202	4219269	2179	2396	494	346	1507	608	837	2190	2484	1743484	2014	702	1094	1052	3171	1622851	2557	535	339
LK-11	1420090260	1296360	15334	1311694	1612660	702	978	181	126	525	214	346	715	1007	725073	786	274	479	321	943	562614	716	236	124
LK-12	1420089780	1342496	14647	1357143	1680263	930	859	192	140	566	216	281	780	872	669007	668	257	409	399	1249	664347	1033	169	122
LK-13	1420089420	751984	8381	760365	926346	547	559	121	80	416	178	210	695	605	349404	560	171	206	332	979	395890	808	130	93
LK-2	1420090320	1591696	21975	1613671	2032313	1567	2549	421	283	1642	702	706	1407	2613	885527	2451	829	567	1229	2844	682804	2550	662	343
LK-21	1420089960	855908	10993	866901	1087542	799	1103	182	116	628	312	318	723	1028	466994	1003	328	277	554	1306	378585	1204	285	163
LK-22	1420089060	309022	3653	312675	397005	306	392	87	57	285	119	97	251	394	145928	380	152	88	241	649	158880	500	135	81
LK-23	1420090320	426766	7329	434095	547766	462	1054	152	110	729	271	291	433	1191	272605	1068	349	202	434	889	145339	846	242	99
LK-3	1420090080	1579037	14758	1593795	1978195	1318	1329	333	229	928	395	408	1454	1253	645137	1136	433	481	762	2533	918244	1982	430	252
LK-31	1420087680	677811	6516	684327	850549	612	597	143	90	392	169	190	835	498	293994	462	193	199	278	995	377126	755	185	98
LK-32	1420087140	515150	4891	520041	648213	384	356	107	82	294	129	133	352	448	212435	373	138	166	231	804	297823	662	140	93
LK-33	1420090080	386076	3351	389427	479433	322	376	83	57	242	97	85	267	307	138708	301	102	116	253	734	243295	565	105	61
LK-4	1420086420	520976	13454	534430	807687	1334	2183	473	246	1275	701	831	801	1972	394991	1395	622	401	912	1336	108831	1550	841	281
LK-42	1420082880	53500	895	54395	79433	78	160	29	19	100	32	57	44	159	45543	136	32	23	61	68	6824	74	46	15
LK-43	1420086420	74080	1371	75451	109705	146	212	45	26	128	57	78	74	213	55683	164	53	30	91	148	16678	143	91	20
LK-44	1420081800	44889	1052	45941	63920	124	185	37	23	67	44	78	68	195	35441	151	29	19	81	135	7935	176	69	32
