entity_id	result_ut	valid	rejected	polled	electors	UNP	SLFP	SLMP
EC-22G	568009620	36319	516	36835	48662	21614	13452	1253
EC-22H	568009560	36205	542	36747	50045	21282	13249	1674
EC-22I	568008060	29252	438	29690	43740	17649	11008	595
EC-22P	568003500	3549	109	3658	3658	1975	1439	135
LK-1	568013280	1826073	27940	1854013	2665797	880939	875272	69862
LK-11	568013280	735315	11295	746610	1105583	361337	339958	34020
LK-12	568012980	728112	10108	738220	985206	350092	355553	22467
LK-13	568012320	362646	6537	369183	575008	169510	179761	13375
LK-2	568013220	670957	10597	681554	1080307	383266	276919	10772
LK-21	568012560	426577	6167	432744	633030	234124	186187	6266
LK-22	568006440	63967	1110	65077	215999	37007	25825	1135
LK-23	568013220	180413	3320	183733	231278	112135	64907	3371
LK-3	568011480	468708	10319	479027	1324563	211509	245382	11817
LK-31	568011480	279944	4461	284405	576390	124912	148615	6417
LK-32	568008360	105745	2003	107748	452637	45399	57424	2922
LK-33	568010700	83019	3855	86874	295536	41198	39343	2478
LK-4	568006200	139014	9225	148239	646774	44230	49086	45698
LK-42	568004100	6966	149	7115	47060	4500	1431	1035
LK-43	568003980	6147	230	6377	6377	2982	1819	1346
LK-44	568003920	5856	329	6185	41624	3098	1639	1119
LK-45	568004940	10453	378	10831	53604	3793	4064	2596
LK-5	568013160	391447	10291	401741	634919	194918	133834	62698
LK-51	568012080	120918	5163	126081	215983	61657	21018	38243
LK-52	568013160	189909	3802	193711	266396	96420	83137	10352
LK-53	568008840	80620	1326	81949	152540	36841	29679	14103
LK-6	568011960	612854	7246	620100	1055840	324001	277043	11810
LK-61	568010280	388599	4281	392880	734453	198662	182220	7717
LK-62	568011960	224255	2965	227220	321387	125339	94823	4093
LK-7	568008960	180156	3364	183520	499764	83343	93327	3486
LK-71	568008480	132634	2207	134841	335551	56951	73154	2529
LK-72	568008960	47522	1157	48679	164213	26392	20173	957
LK-8	568007580	161116	4127	165243	473608	97651	59346	4119
LK-81	568007580	134424	3276	137700	311473	80779	50223	3422
LK-82	568005780	26692	851	27543	162135	16872	9123	697
LK-9	568012260	644429	8390	652819	901571	349342	279648	15439
LK-91	568012260	349017	4113	353130	460735	180622	159879	8516
LK-92	568009860	295412	4277	299689	440836	168720	119769	6923
