file	table_name	space_id	time_id	attr_id	n_data_list	file_size	value_key_list_str
regions.2012_census.roof_type_in_housing_unit.tsv	regions.2012_census.roof_type_in_housing_unit	regions	2012_census	roof_type_in_housing_unit	15204	777864	asbestos;cadjan_or_palmyrah_or_straw;concrete;metal_sheet;other;tile;zink_aluminium_sheet
regions.2012_census.rooms_in_housing_unit.tsv	regions.2012_census.rooms_in_housing_unit	regions	2012_census	rooms_in_housing_unit	15204	1011590	10_and_above;1_room;2_rooms;3_rooms;4_rooms;5_rooms;6_rooms;7_rooms;8_rooms;9_rooms
regions.2012_census.solid_waste_disposal_by_household.tsv	regions.2012_census.solid_waste_disposal_by_household	regions	2012_census	solid_waste_disposal_by_household	15204	712055	collected_by_local_authorities;occupants_burn;occupants_bury;other
regions.2012_census.source_of_drinking_water_of_household.tsv	regions.2012_census.source_of_drinking_water_of_household	regions	2012_census	source_of_drinking_water_of_household	15204	1161688	bottled_water;bowser;other;protected_well_within_premises;rain_water;river_or_tank_or_stream;rural_water_projects;tap_within_unit_main_line;tube_well;unprotected_well
regions.2012_census.structure_of_housing_units.tsv	regions.2012_census.structure_of_housing_units	regions	2012_census	structure_of_housing_units	15204	876749	attached_house_or_annex;condominium;flat;hut_or_shanty;row_house_or_line_room;single_house_double_floor;single_house_more_than_2_floors;single_house_single_floor;twin_house
regions.2012_census.toilet_facilities_of_household.tsv	regions.2012_census.toilet_facilities_of_household	regions	2012_census	toilet_facilities_of_household	15204	690477	direct_pit;not_using_a_toilet;other;pour_flush_toilet_not_water_seal;water_seal_and_connected_to_a_piped_sewer_system;water_seal_and_connected_to_a_septic_tank
regions.2012_census.total_population.tsv	regions.2012_census.total_population	regions	2012_census	total_population	15220	281947	
regions.2012_census.type_of_housing_unit.tsv	regions.2012_census.type_of_housing_unit	regions	2012_census	type_of_housing_unit	15204	569224	improvised;permanent;semi_permanent
regions.2012_census.wall_type_in_housing_units.tsv	regions.2012_census.wall_type_in_housing_units	regions	2012_census	wall_type_in_housing_units	15204	833523	brick;cabook;cadjan_or_palmyrah;cement_block_or_stone;mud;other;plank_or_metal_sheet;soil_bricks
regions.2012_census.year_of_construction_of_housing_unit.tsv	regions.2012_census.year_of_construction_of_housing_unit	regions	2012_census	year_of_construction_of_housing_unit	15204	1170511	1980_1989;1990_1994;1995_1999;2000_2004;2005;2006;2007;2008;2009;2010;2011;before_80
regions_ec.1982_election_presidential.result.tsv	regions_ec.1982_election_presidential.result	regions_ec	1982_election_presidential	result	213	14444	ACTC;JVP;LSSP;SLFP;UNP
regions_ec.1988_election_presidential.result.tsv	regions_ec.1988_election_presidential.result	regions_ec	1988_election_presidential	result	209	11698	SLFP;SLMP;UNP
regions_ec.1994_election_presidential.result.tsv	regions_ec.1994_election_presidential.result	regions_ec	1994_election_presidential	result	213	14320	PA;UNP
regions_ec.1999_election_presidential.result.tsv	regions_ec.1999_election_presidential.result	regions_ec	1999_election_presidential	result	213	19604	JVP;LDA;PA;UNP
regions_ec.2005_election_presidential.result.tsv	regions_ec.2005_election_presidential.result	regions_ec	2005_election_presidential	result	216	18901	UNP;UPFA
regions_ec.2010_election_presidential.result.tsv	regions_ec.2010_election_presidential.result	regions_ec	2010_election_presidential	result	218	25322	NDF;UPFA
regions_ec.2015_election_presidential.result.tsv	regions_ec.2015_election_presidential.result	regions_ec	2015_election_presidential	result	213	22881	NDF;UPFA
regions_ec.2019_election_presidential.result.tsv	regions_ec.2019_election_presidential.result	regions_ec	2019_election_presidential	result	213	34807	NDF;SLPP
