entity_id	result_ut	valid	rejected	polled	electors	PA	UNP	SMBP	Ind 1	Ind 2	SLPF
EC-14B	757394220	33770	545	34315	67509	28900	3925	112	51	697	85
EC-14C	757395180	38152	495	38647	61949	25721	11209	74	82	946	120
EC-14P	757392420	3881	46	3927	3927	2701	1146	8	2	16	8
EC-15	757400100	680344	10511	690855	897539	403838	266740	2211	1714	3999	1842
EC-15A	757399140	52891	858	53749	69872	33011	19033	164	130	377	176
EC-15B	757398540	49067	834	49901	64434	30415	17932	145	117	294	164
EC-15C	757400100	57283	962	58245	76083	33582	22893	157	118	367	166
EC-15D	757398660	49891	919	50810	67182	28159	20880	178	121	405	148
EC-15E	757395900	41012	610	41622	53579	25612	14862	118	87	231	102
EC-15F	757395420	39200	515	39715	52667	23158	15482	114	103	234	109
EC-15G	757398000	47842	467	48309	61107	27377	19915	109	103	233	105
EC-15H	757399200	53214	651	53865	68616	33528	19095	152	114	224	101
EC-15I	757399260	53349	773	54122	69233	29638	22999	167	146	295	104
EC-15J	757398900	51806	738	52544	69064	30516	20613	170	151	244	112
EC-15K	757396020	41062	647	41709	55872	23447	17030	165	108	216	96
EC-15L	757396440	42278	682	42960	59146	24685	17005	158	151	188	91
EC-15M	757397400	45476	831	46307	60627	28057	16635	177	124	348	135
EC-15N	757394520	35350	699	36049	49109	20241	14374	142	100	322	171
EC-15P	757393380	20623	325	20948	20948	12412	7992	95	41	21	62
EC-16	757400280	264635	4689	269324	385854	165795	95211	617	591	1796	625
EC-16A	757397520	45428	1043	46471	73757	29040	15542	75	122	531	118
EC-16B	757399560	54762	1045	55807	80010	35977	17821	176	122	475	191
EC-16C	757400280	58421	936	59357	83057	35415	22240	133	121	382	130
EC-16D	757397280	44994	576	45570	64449	27856	16721	81	86	180	70
EC-16E	757399920	55463	994	56457	78919	33874	21004	134	121	228	102
EC-16P	757392480	5567	95	5662	5662	3633	1883	18	19	0	14
EC-17	757400700	312797	6205	319002	418857	200146	107342	1014	678	2534	1083
EC-17A	757395720	39938	667	40605	55792	25938	13185	126	106	401	182
EC-17B	757395660	39886	581	40467	51975	26000	13287	80	86	297	136
EC-17C	757397100	43677	943	44620	62048	27421	15490	220	102	310	134
EC-17D	757397880	46794	1115	47909	65367	27142	18892	141	113	365	141
EC-17E	757400700	61100	1304	62404	79687	42661	17331	191	112	547	258
EC-17F	757393980	30992	581	31573	41088	19935	10541	86	66	267	97
EC-17G	757395300	38704	789	39493	50969	23583	14517	110	75	324	95
EC-17P	757392960	11706	225	11931	11931	7466	4099	60	18	23	40
EC-18	757401000	150475	3966	154441	203940	88907	59287	428	258	1126	469
EC-18A	757396380	41504	1204	42708	57393	25779	15079	134	64	279	169
EC-18B	757396500	42168	965	43133	55264	23977	17588	112	67	313	111
EC-18C	757401000	63136	1716	64852	87535	36865	25284	169	118	527	173
EC-18P	757392360	3667	81	3748	3748	2286	1336	13	9	7	16
EC-19	757397160	330772	14093	344865	445146	182810	139611	1745	1387	3847	1372
EC-19A	757397160	44135	1302	45437	58235	18218	24842	213	213	446	203
EC-19B	757393800	27487	1002	28489	36342	15304	11227	145	183	456	172
EC-19C	757394460	34169	1873	36042	45788	19303	13793	176	167	556	174
EC-19D	757393860	28243	958	29201	40039	17416	10210	182	104	255	76
EC-19E	757394820	35522	1861	37383	48807	20090	14430	212	153	491	146
EC-19F	757395000	37077	1267	38344	47127	20307	16031	134	129	335	141
EC-19G	757395960	40152	1482	41634	53643	22177	17280	164	126	284	121
EC-19H	757396080	39733	2003	41736	56426	23648	15072	236	152	464	161
EC-19I	757394700	34531	2182	36713	48853	20108	13371	221	140	551	140
EC-19P	757392900	9723	163	9886	9886	6239	3355	62	20	9	38
EC-20	757400640	152869	3977	156846	203102	96620	52026	877	556	1966	824
EC-20A	757395600	39467	928	40395	50852	24271	13867	209	200	674	246
EC-20B	757398600	49108	1456	50564	64229	31950	15801	234	175	687	261
EC-20C	757400640	60623	1553	62176	84310	38050	21090	414	174	600	295
EC-20P	757392300	3671	40	3711	3711	2349	1268	20	7	5	22
EC-21	757401540	443031	7595	450626	563174	257265	177924	1877	1235	3451	1279
EC-21A	757399380	53997	705	54702	71614	32647	20589	166	125	366	104
EC-21B	757401180	65042	996	66038	83492	38221	25858	225	162	435	141
EC-21C	757397340	44903	906	45809	56593	24076	19994	172	138	405	118
EC-21D	757400160	57403	1277	58680	73136	32501	23943	257	154	353	195
EC-21E	757399500	54384	1057	55441	69702	27997	25338	253	189	453	154
EC-21F	757399620	55178	836	56014	66888	31980	22172	202	141	531	152
EC-21G	757394340	34923	469	35392	43279	19993	14434	93	87	234	82
EC-21H	757401540	68731	1252	69983	89903	44641	22425	465	222	666	312
EC-21P	757392840	8470	97	8567	8567	5209	3171	44	17	8	21
EC-22	757399080	377592	7139	384731	514055	211676	159707	1402	1020	2759	1028
EC-22A	757399080	52683	795	53478	70142	28939	22989	159	133	329	134
EC-22B	757395540	39669	696	40365	54044	22942	16086	132	98	307	104
EC-22C	757395360	38815	751	39566	54933	24126	14150	140	87	197	115
EC-22D	757394640	35720	761	36481	49996	21224	13899	144	84	259	110
EC-22E	757397460	45570	803	46373	63001	25400	19367	209	143	350	101
EC-22F	757394040	31532	604	32136	42338	17156	13854	113	78	224	107
EC-22G	757396140	40952	992	41944	57328	21930	18200	180	123	409	110
EC-22H	757396320	42063	602	42665	56451	23340	18038	137	131	298	119
EC-22I	757395120	37700	915	38615	52714	18793	18179	131	128	375	94
EC-22P	757393020	12888	220	13108	13108	7826	4945	57	15	11	34
LK-1	757402260	2191923	36506	2228429	3084300	1404048	755815	11621	7642	7758	5039
LK-11	757402260	860386	16060	876446	1259484	557708	288741	6059	3533	2526	1819
LK-12	757401960	850518	13137	863655	1164625	550654	288608	3694	2711	3019	1832
LK-13	757401120	481019	7309	488328	660191	295686	178466	1868	1398	2213	1388
LK-2	757402320	1059911	31336	1091247	1403115	610488	425771	4942	3443	12173	3094
LK-21	757402200	565117	14179	579296	744151	320110	235519	2618	1752	3748	1370
LK-22	757400880	199164	5317	204481	265743	121449	73324	992	608	2111	680
LK-23	757402320	295630	11840	307470	393221	168929	116928	1332	1083	6314	1044
LK-3	757401300	1033049	16856	1049905	1491360	646136	369241	4686	3063	5354	4569
LK-31	757400220	464815	7112	471927	646373	285398	173282	1584	1179	1885	1487
LK-32	757399020	352239	5731	357970	511933	227865	118224	1564	1134	2055	1397
LK-33	757401300	215995	4013	220008	333054	132873	77735	1538	750	1414	1685
LK-4	757393440	56947	822	57769	776280	50519	4716	132	93	1344	143
LK-42	757393260	16149	199	16348	54066	14607	981	24	12	490	35
LK-43	757393440	20595	444	21039	72434	16861	3026	68	63	499	78
LK-44	757392180	1478	27	1505	52197	1128	330	3	0	13	4
LK-45	757391940	186	7	193	55995	174	9	1	0	0	2
LK-5	757402140	507181	8011	515192	772158	390957	101892	1099	1072	10781	1382
LK-51	757401900	165779	2664	168443	264975	144725	14812	349	381	5030	484
LK-52	757402140	232581	3621	236202	319166	168289	59074	471	496	3677	574
LK-53	757395180	108821	1726	110547	188017	77943	28006	279	195	2074	324
LK-6	757400280	944979	15200	960179	1283393	569633	361951	2828	2305	5795	2467
LK-61	757400100	680344	10511	690855	897539	403838	266740	2211	1714	3999	1842
LK-62	757400280	264635	4689	269324	385854	165795	95211	617	591	1796	625
LK-7	757401000	463272	10171	473443	622797	289053	166629	1442	936	3660	1552
LK-71	757400700	312797	6205	319002	418857	200146	107342	1014	678	2534	1083
LK-72	757401000	150475	3966	154441	203940	88907	59287	428	258	1126	469
LK-8	757400640	483641	18070	501711	648248	279430	191637	2622	1943	5813	2196
LK-81	757397160	330772	14093	344865	445146	182810	139611	1745	1387	3847	1372
LK-82	757400640	152869	3977	156846	203102	96620	52026	877	556	1966	824
LK-9	757401540	820623	14734	835357	1077229	468941	337631	3279	2255	6210	2307
LK-91	757401540	443031	7595	450626	563174	257265	177924	1877	1235	3451	1279
LK-92	757399080	377592	7139	384731	514055	211676	159707	1402	1020	2759	1028
