entity_id	result_ut	valid	rejected	polled	electors	UPFA	NDF	SLLP	DUNF	UDF	JSP	Ind 1	LF	ONF	NSH	Ind 3	Ind 5	USP	Ind 2	SEP	JP	NA	Ind 4	UNAF	RPP	PNF	ACAKO
EC-07	1262321760	607621	3765	611386	785663	386971	211633	627	1256	804	1770	1080	239	336	397	549	168	384	435	157	115	126	124	89	120	140	101
EC-07A	1262315580	36401	241	36642	50109	23634	12198	32	71	44	134	59	19	29	27	39	10	23	26	24	8	4	4	6	2	3	5
EC-07B	1262317920	53334	320	53654	68780	33488	19191	37	79	50	150	93	17	27	27	30	4	27	31	19	5	19	7	9	6	11	7
EC-07C	1262317200	49024	308	49332	67025	34809	13420	57	91	67	198	118	20	27	28	46	9	18	44	3	11	10	13	5	14	9	7
EC-07D	1262320500	65320	382	65702	84772	44036	20219	78	141	83	242	123	26	30	33	81	23	46	57	12	20	12	11	9	16	7	15
EC-07E	1262321760	75453	457	75910	94245	47987	26061	111	227	114	231	186	37	35	76	68	30	58	57	11	20	21	21	19	28	37	18
EC-07F	1262321400	70302	489	70791	89805	44495	24446	83	168	138	262	135	42	54	63	83	38	69	60	22	21	21	27	12	14	33	16
EC-07G	1262318640	55672	336	56008	74442	37329	17617	44	125	58	155	105	11	26	30	43	9	30	23	20	6	8	8	6	9	8	2
EC-07H	1262318220	54038	312	54350	71575	25797	27625	37	75	73	94	64	20	30	35	44	17	34	30	10	5	7	12	2	10	6	11
EC-07I	1262320620	65526	371	65897	84872	40321	24345	79	114	82	145	91	21	41	32	66	10	39	48	19	7	9	6	11	12	12	16
EC-07J	1262319300	58923	329	59252	76190	39435	18606	66	150	91	153	93	15	33	43	46	18	36	55	13	9	15	12	8	8	14	4
EC-07P	1262315100	23628	220	23848	23848	15640	7905	3	15	4	6	13	11	4	3	3	0	4	4	4	3	0	3	2	1	0	0
EC-08	1262320860	451929	3025	454954	594628	296155	148510	597	1088	736	1381	829	199	283	313	329	154	345	284	112	125	82	81	56	107	97	66
EC-08A	1262320680	65613	624	66237	86311	42999	20939	139	250	142	332	205	46	69	81	60	38	95	47	20	28	21	15	13	38	21	15
EC-08B	1262320260	64522	452	64974	85686	45590	17626	99	220	97	300	154	33	43	45	53	26	49	58	21	30	14	13	8	15	16	12
EC-08C	1262320860	67519	449	67968	87510	44527	21926	95	144	112	185	130	25	39	45	54	28	54	33	15	20	14	15	11	19	15	13
EC-08D	1262319180	58365	364	58729	77705	40879	16561	93	170	85	149	108	33	21	31	52	17	42	38	17	15	8	12	8	12	10	4
EC-08E	1262318340	54372	308	54680	74601	36428	17219	62	116	84	145	74	14	33	33	35	12	23	35	8	11	5	6	8	7	9	5
EC-08F	1262319720	61642	367	62009	80334	33948	27102	43	87	61	95	59	15	38	38	23	11	26	25	18	4	10	8	3	10	11	7
EC-08G	1262320140	64254	333	64587	86711	41359	21978	64	91	150	172	95	25	37	39	51	20	50	47	12	11	10	11	4	6	13	9
EC-08P	1262314440	15642	128	15770	15770	10425	5159	2	10	5	3	4	8	3	1	1	2	6	1	1	6	0	1	1	0	2	1
EC-09	1262323980	337564	2218	339782	433991	226887	105336	444	947	409	957	716	130	236	217	260	136	209	160	67	102	81	87	34	59	56	34
EC-09A	1262321580	72050	529	72579	93685	48187	22537	110	238	112	215	181	31	60	72	55	32	50	30	21	22	20	25	13	15	19	5
EC-09B	1262318760	56862	324	57186	74470	38055	17965	66	131	87	133	93	24	46	34	56	25	46	26	10	15	14	8	3	8	10	7
EC-09C	1262322540	85119	511	85630	109409	60082	23729	114	238	64	263	215	35	47	48	55	32	47	41	15	21	10	26	9	11	7	10
EC-09D	1262323980	110834	748	111582	143622	71581	37426	149	334	145	339	220	37	83	60	94	47	66	62	20	42	37	28	8	24	20	12
EC-09P	1262313900	12699	106	12805	12805	8982	3679	5	6	1	7	7	3	0	3	0	0	0	1	1	2	0	0	1	1	0	0
EC-10	1262314980	178369	6763	185132	736032	44154	113877	645	3370	3325	1310	571	1128	696	732	683	3205	840	485	657	307	412	485	518	351	358	260
EC-10-D	1262313660	9786	361	10147	10147	2244	6927	21	233	41	28	16	20	32	35	11	65	18	12	16	6	18	10	12	4	10	7
EC-10A	1262313720	9983	338	10321	53111	4611	3976	43	283	144	136	60	56	30	32	38	284	42	36	94	16	18	15	33	12	15	9
EC-10B	1262314680	18684	752	19436	63991	4247	11712	75	326	486	164	63	139	106	71	85	500	110	62	127	46	63	75	71	70	51	35
EC-10C	1262314320	14440	493	14933	69082	4559	8216	59	254	283	169	51	88	56	59	70	207	68	43	32	28	35	49	35	19	37	23
EC-10D	1262314980	21594	881	22475	71114	5749	13390	85	391	447	189	66	173	101	106	105	231	122	48	62	41	45	56	63	35	51	38
EC-10E	1262314860	20508	625	21133	65798	4538	13151	100	528	471	160	83	151	98	112	93	306	146	72	68	53	67	84	64	64	65	34
EC-10F	1262314200	13355	600	13955	56426	2545	8974	50	301	314	97	47	78	61	68	71	334	68	41	58	21	38	43	57	38	31	20
EC-10G	1262313960	12388	440	12828	48613	2361	8585	24	223	227	73	39	100	43	44	34	326	47	27	43	20	24	35	41	30	20	22
EC-10H	1262314740	18590	860	19450	65141	4567	11599	80	323	493	141	59	121	55	94	82	348	113	85	92	36	47	71	67	41	45	31
EC-10I	1262314560	16391	557	16948	72558	3554	11543	54	196	231	73	31	89	52	50	52	173	68	31	25	20	36	27	37	16	13	20
EC-10J	1262313840	11960	454	12414	64714	3296	7914	31	107	139	50	27	41	30	29	31	126	18	19	20	7	8	10	23	12	11	11
EC-10K	1262313420	6280	286	6566	90811	991	4717	23	199	45	28	27	23	32	26	10	42	19	8	19	11	13	10	12	8	8	9
EC-10P	1262313300	4410	116	4526	4526	892	3173	0	6	4	2	2	49	0	6	1	263	1	1	1	2	0	0	3	2	1	1
EC-11	1262317260	105252	2428	107680	549344	28740	70367	227	2021	791	343	279	217	274	294	115	549	212	82	133	70	130	84	132	65	74	53
EC-11-D	1262314380	15059	335	15394	15394	4598	9687	32	286	67	50	48	17	46	40	8	55	21	11	16	9	28	10	6	8	13	3
EC-11A	1262315280	28717	455	29172	85322	6656	20157	44	923	242	73	65	42	71	74	28	105	49	16	45	13	22	13	35	17	10	17
EC-11B	1262317260	48163	1335	49498	112924	13742	31796	104	569	381	183	125	136	122	127	68	308	115	39	58	30	52	46	71	27	41	23
EC-11C	1262313600	9367	258	9625	68729	1726	6882	43	237	99	28	35	16	33	53	10	41	27	16	12	18	27	15	17	13	10	9
EC-11P	1262313240	3946	45	3991	266975	2018	1845	4	6	2	9	6	6	2	0	1	40	0	0	2	0	1	0	3	0	0	1
EC-12	1262323680	211891	4396	216287	667353	55663	146057	468	3016	1666	612	484	366	541	645	232	633	284	125	185	102	201	172	107	121	124	87
EC-12-D	1262313120	63	2	65	65	2	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-12A	1262319360	58905	1281	60186	97135	20112	35608	148	1065	405	222	208	87	146	185	96	176	75	60	57	27	59	50	36	31	33	19
EC-12B	1262323680	101800	1885	103685	155537	28090	69975	179	927	679	239	188	153	231	253	81	254	107	39	74	39	72	61	36	53	32	38
EC-12C	1262316600	45904	1161	47065	80972	5968	36776	141	1016	578	150	86	111	161	206	55	154	100	26	54	36	70	57	35	36	58	30
EC-12P	1262313360	5219	67	5286	333644	1491	3637	0	8	4	1	2	15	3	1	0	49	2	0	0	0	0	4	0	1	1	0
EC-13	1262323860	306562	2912	309474	841672	146912	153105	404	1270	1101	641	683	115	447	308	240	369	223	135	84	70	94	139	45	58	71	48
EC-13-D	1262313060	2	0	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-13A	1262323860	108026	608	108634	145479	73389	32895	137	256	80	291	367	21	108	74	93	40	65	44	26	23	32	22	11	20	19	13
EC-13B	1262317020	48262	556	48818	71442	19991	27003	71	236	300	110	105	18	84	58	46	59	49	29	17	14	17	11	11	9	14	10
EC-13C	1262316120	43486	544	44030	66135	9564	32946	62	181	284	39	27	26	81	39	28	45	41	19	7	15	10	39	6	8	8	11
EC-13D	1262323020	90796	1066	91862	137779	33979	54374	130	579	430	188	175	43	173	131	69	214	64	42	33	15	35	44	17	19	29	13
EC-13P	1262314500	15990	138	16128	420835	9989	5885	4	18	7	13	9	7	1	6	4	11	4	1	1	3	0	23	0	2	1	1
EC-14	1262318580	162072	2432	164504	482356	69752	87661	218	1115	765	311	346	125	240	252	147	302	247	105	80	42	82	76	55	58	48	45
EC-14-D	1262313180	87	3	90	90	1	85	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC-14A	1262316180	44269	563	44832	69047	27932	15260	66	262	121	100	133	29	42	63	51	32	54	14	19	10	21	13	9	19	13	6
EC-14B	1262317680	51698	1050	52748	86685	13935	35887	83	445	384	83	74	60	98	69	35	193	95	44	30	22	28	27	31	24	24	27
EC-14C	1262318580	55219	696	55915	85401	21002	32631	65	384	252	110	131	32	98	117	58	52	94	43	30	8	33	31	11	15	11	11
EC-14P	1262313780	10799	120	10919	241133	6882	3798	4	23	8	18	8	4	2	3	3	25	4	4	1	2	0	5	4	0	0	1
EC-15	1262321880	923893	6644	930537	1230966	582784	327594	922	3112	912	1943	1669	399	553	604	813	302	492	475	220	171	203	185	99	146	177	118
EC-15A	1262321280	69661	334	69995	96354	46752	21666	98	307	77	192	189	26	47	54	42	27	31	40	23	13	10	20	14	9	13	11
EC-15B	1262320200	64369	432	64801	87897	41510	21830	45	278	56	156	138	21	37	44	60	21	32	36	11	13	14	14	7	11	21	14
EC-15C	1262321880	76418	502	76920	105779	49854	25199	83	365	58	179	210	33	54	65	70	34	40	38	25	17	19	21	8	14	24	8
EC-15D	1262320740	65853	548	66401	92150	42240	22538	83	269	80	140	115	36	47	56	72	18	41	32	17	15	12	9	6	7	11	9
EC-15E	1262318100	53598	343	53941	71905	36497	16282	62	185	57	128	89	31	29	37	48	16	35	27	21	11	9	9	4	9	7	5
EC-15F	1262317800	53285	270	53555	70131	32854	19681	41	182	54	107	98	24	37	28	37	16	31	31	11	7	12	11	2	8	10	3
EC-15G	1262319780	62174	360	62534	82441	38036	23273	56	169	54	124	108	37	36	33	48	15	40	36	13	13	17	17	13	13	15	8
EC-15H	1262321100	69380	390	69770	89310	43052	25547	64	127	67	97	119	25	43	34	40	22	30	22	16	11	13	11	9	10	12	9
EC-15I	1262321460	70668	349	71017	94743	41881	27813	57	200	70	130	104	30	45	60	70	22	33	42	13	12	18	16	6	19	12	15
EC-15J	1262320980	68047	436	68483	89631	44172	23056	64	161	65	109	100	29	31	29	87	21	24	25	14	5	21	10	3	5	7	9
EC-15K	1262318400	54555	311	54866	73283	34501	19328	59	146	48	120	88	17	30	29	47	14	29	32	11	10	6	11	5	8	10	6
EC-15L	1262319600	60922	492	61414	81523	34912	25113	65	277	51	112	78	29	36	47	51	17	29	27	18	5	16	7	9	9	10	4
EC-15M	1262319660	61286	458	61744	82656	36237	23999	69	208	95	163	96	27	29	43	84	37	46	52	14	14	18	14	8	15	10	8
EC-15N	1262316780	47471	308	47779	65846	28907	17596	71	198	69	169	117	24	46	41	48	21	45	28	12	16	18	13	3	8	12	9
EC-15P	1262316660	46206	1111	47317	47317	31379	14673	5	40	11	17	20	10	6	4	9	1	6	7	1	9	0	2	2	1	3	0
EC-16	1262321940	344113	2886	346999	503106	201981	136233	380	1415	587	767	670	153	246	263	285	132	244	228	102	62	87	67	52	44	65	50
EC-16A	1262320440	64302	941	65243	102643	25751	36971	73	412	219	141	125	43	68	86	39	46	88	78	29	16	25	17	19	13	20	23
EC-16B	1262321520	70906	508	71414	101696	49895	19622	91	354	84	264	209	28	49	45	88	27	36	40	9	8	14	9	8	7	11	8
EC-16C	1262321940	76470	558	77028	108244	45617	29541	96	328	124	154	144	25	50	63	66	32	49	53	30	14	26	21	11	4	12	10
EC-16D	1262318880	57124	355	57479	83218	34799	21612	55	143	65	88	86	30	31	38	36	12	30	22	26	2	8	9	6	9	12	5
EC-16E	1262320920	67833	471	68304	99774	40931	26023	63	174	93	119	101	25	48	30	54	12	41	34	7	21	14	10	8	11	10	4
EC-16P	1262313480	7478	53	7531	7531	4988	2464	2	4	2	1	5	2	0	1	2	3	0	1	1	1	0	1	0	0	0	0
EC-17	1262322600	450038	3785	453823	616186	298448	143761	488	1921	477	1268	1115	183	295	325	417	146	237	254	110	102	82	87	51	101	93	77
EC-17A	1262317620	51982	293	52275	75683	35996	14971	83	236	54	171	148	16	38	49	56	19	31	21	16	12	5	12	6	14	16	12
EC-17B	1262317560	51687	356	52043	73590	33622	17054	53	311	70	137	151	28	42	51	37	20	22	20	8	9	8	8	4	19	6	7
EC-17C	1262320320	64582	517	65099	88157	41418	22270	60	241	40	154	109	29	38	39	35	19	32	27	8	10	6	16	3	9	8	11
EC-17D	1262320380	64575	583	65158	93534	41965	21288	68	262	85	255	202	36	52	49	63	24	41	57	23	21	21	10	12	15	16	10
EC-17E	1262322600	84999	650	85649	115275	57967	25591	96	295	85	238	222	34	51	61	91	19	42	57	22	26	16	22	10	18	13	23
EC-17F	1262316000	42429	358	42787	59137	27619	13928	57	206	66	147	112	10	40	29	65	22	25	27	13	3	10	11	6	10	16	7
EC-17G	1262318040	53491	396	53887	73885	34101	18431	61	227	64	134	141	19	31	41	60	21	37	33	19	16	15	8	3	13	9	7
EC-17P	1262315640	36293	632	36925	36925	25760	10228	10	143	13	32	30	11	3	6	10	2	7	12	1	5	1	0	7	3	9	0
EC-18	1262323500	223175	1472	224647	294583	144889	75026	219	619	236	477	507	71	172	201	195	54	115	73	54	32	62	45	30	29	38	31
EC-18A	1262318820	56990	350	57340	77084	39587	16517	70	167	55	163	139	21	39	40	49	13	30	23	16	10	14	11	6	4	8	8
EC-18B	1262318280	54302	281	54583	72402	34613	18979	49	93	57	89	130	9	45	61	57	9	24	16	8	3	18	12	8	8	7	7
EC-18C	1262323500	97768	710	98478	130851	60718	35473	99	320	118	219	228	39	85	98	88	29	61	29	29	17	30	22	13	17	21	15
EC-18P	1262314260	14115	131	14246	14246	9971	4057	1	39	6	6	10	2	3	2	1	3	0	5	1	2	0	0	3	0	2	1
EC-19	1262320080	446294	6083	452377	598190	237579	198835	733	1292	1212	1214	795	248	669	580	525	450	506	265	246	153	263	165	104	179	164	117
EC-19A	1262320080	63863	491	64354	85562	38486	24057	118	175	106	207	161	31	78	81	75	35	53	33	18	24	41	18	10	20	25	11
EC-19B	1262315520	34267	1068	35335	48231	20816	12529	79	107	98	152	76	18	61	55	53	42	46	17	21	19	20	14	16	15	8	5
EC-19C	1262316060	42531	716	43247	60002	18529	22601	102	177	231	130	75	46	109	90	52	68	71	30	25	20	47	31	15	34	29	19
EC-19D	1262315760	38392	441	38833	51468	19799	17917	60	69	75	72	45	14	57	45	47	42	31	19	23	11	17	13	5	14	10	7
EC-19E	1262316720	46906	665	47571	63124	23758	21946	76	144	151	161	85	39	71	63	67	73	66	33	39	17	32	21	15	18	17	14
EC-19F	1262316300	44459	425	44884	59472	24831	18696	68	131	88	121	90	16	67	42	61	37	60	22	23	13	25	18	4	14	19	13
EC-19G	1262317440	51232	509	51741	68937	27252	23092	57	110	82	99	85	21	64	42	60	36	53	44	20	13	22	17	14	16	16	17
EC-19H	1262318940	57311	735	58046	77312	29975	26085	83	182	157	178	100	23	74	71	73	61	60	27	34	20	23	13	13	20	21	18
EC-19I	1262316360	44159	831	44990	60706	19135	23856	82	154	218	83	66	34	86	87	35	53	63	32	39	12	35	19	12	28	19	11
EC-19P	1262315040	23174	202	23376	23376	14998	8056	8	43	6	11	12	6	2	4	2	3	3	8	4	4	1	1	0	0	0	2
EC-20	1262323440	229584	2272	231856	313554	158435	66803	364	684	342	874	604	119	171	191	186	107	158	109	63	56	73	68	40	52	53	32
EC-20A	1262317500	51357	544	51901	74692	34523	15649	104	192	104	252	153	34	47	48	51	23	37	23	27	16	14	12	11	10	15	12
EC-20B	1262321040	68096	743	68839	96386	46731	19990	108	193	121	261	191	32	70	74	57	47	47	28	19	14	30	23	12	23	14	11
EC-20C	1262323440	97414	790	98204	129564	68310	27369	148	290	114	355	248	49	54	69	76	37	72	56	17	26	29	30	16	18	24	7
EC-20P	1262314020	12717	195	12912	12912	8871	3795	4	9	3	6	12	4	0	0	2	0	2	2	0	0	0	3	1	1	0	2
EC-21	1262323560	592426	4430	596856	748404	377734	203566	905	1767	1126	1525	1383	291	589	552	534	278	528	300	216	160	231	176	132	143	150	140
EC-21A	1262321220	69575	416	69991	89518	46177	22277	87	158	105	224	135	36	58	38	63	27	47	40	15	13	13	9	10	14	12	17
EC-21B	1262322720	86356	575	86931	108122	55225	29891	100	133	126	171	193	31	67	56	76	36	58	39	29	17	28	28	13	9	17	13
EC-21C	1262319480	60319	617	60936	75685	34773	24283	94	191	167	151	120	25	87	74	42	43	65	24	34	14	41	23	9	25	18	16
EC-21D	1262322000	76490	589	77079	96855	46716	28201	108	255	142	200	170	48	87	105	83	45	81	46	30	27	36	24	17	18	26	25
EC-21E	1262321640	72344	562	72906	92891	43368	27302	131	375	191	162	167	37	95	104	73	45	66	40	26	20	39	18	12	29	25	19
EC-21F	1262321160	69292	574	69866	86973	45248	22431	118	257	173	220	169	40	67	67	82	44	85	41	40	27	39	30	45	22	18	29
EC-21G	1262316480	46476	278	46754	57232	31514	14009	94	141	104	141	144	18	50	37	40	8	57	25	13	10	15	14	9	11	15	7
EC-21H	1262323560	97932	708	98640	127375	65255	31029	169	248	116	256	280	52	77	69	73	26	67	43	27	31	20	30	17	14	19	14
EC-21P	1262314140	13642	111	13753	13753	9458	4143	4	9	2	0	5	4	1	2	2	4	2	2	2	1	0	0	0	1	0	0
EC-22	1262319960	479964	3604	483568	635342	296639	174877	661	1377	835	1312	821	247	395	424	476	246	391	309	191	128	134	99	70	122	111	99
EC-22A	1262319960	63738	383	64121	83554	39736	23097	71	128	70	174	102	25	35	44	62	22	42	39	15	8	16	10	13	10	10	9
EC-22B	1262316900	47946	330	48276	64565	30980	16077	86	136	86	146	85	25	36	43	45	30	34	41	20	14	10	13	7	17	6	9
