entity_id	result_ut	valid	rejected	polled	electors	UNP	UPFA	USP	ULPP	JSP	NLF	ULF	RPP	SLNF	SEP	DUA	SLPF	UNAF
EC-04H	1104549840	52052	630	52682	69243	28894	22670	124	83	120	37	25	16	29	21	16	12	5
EC-04I	1104547200	26811	335	27146	36326	17130	9435	55	57	55	20	14	15	6	10	7	6	1
EC-04J	1104550740	55934	594	56528	72329	27791	27428	159	100	210	48	34	50	46	19	26	12	11
EC-04K	1104550440	54445	726	55171	71840	30979	22733	203	90	181	55	45	40	45	24	29	14	7
EC-04L	1104552060	62603	1036	63639	84167	35829	25790	276	86	258	70	65	56	64	27	41	19	22
EC-04M	1104551520	59453	965	60418	80003	29882	28544	296	85	277	74	44	56	63	48	40	28	16
EC-04P	1104547140	26306	410	26716	26716	10502	15686	12	57	15	8	4	3	5	12	2	0	0
EC-05	1104554640	250620	3785	254405	332515	125937	120533	1212	342	1217	356	208	224	228	95	141	76	51
EC-05A	1104554640	83778	1073	84851	111401	38692	43853	325	102	361	117	61	84	71	31	41	23	17
EC-05B	1104548820	46781	679	47460	60990	22249	23637	243	37	279	86	45	51	65	28	35	14	12
EC-05C	1104549660	51439	932	52371	71171	29637	20945	278	88	235	73	48	33	34	17	25	15	11
EC-05D	1104551160	58129	955	59084	78314	31449	25551	362	96	334	78	53	55	58	19	39	24	11
EC-05P	1104546240	10493	146	10639	10639	3910	6547	4	19	8	2	1	1	0	0	1	0	0
EC-06	1104555900	355875	5410	361285	454528	250428	99550	2622	376	1465	287	215	202	199	146	164	137	84
EC-06A	1104555900	192961	2841	195802	246062	156343	33453	1631	182	689	115	125	79	67	90	73	74	40
EC-06B	1104549540	51548	576	52124	65998	33073	17645	378	51	204	35	27	27	29	23	16	24	16
EC-06C	1104549120	48691	843	49534	63421	27061	20725	277	58	285	57	33	46	58	18	40	18	15
EC-06D	1104550680	55519	1003	56522	71744	30852	23688	333	74	285	78	30	50	45	15	35	21	13
EC-06P	1104545880	7156	147	7303	7303	3099	4039	3	11	2	2	0	0	0	0	0	0	0
EC-07	1104553680	594468	5540	600008	751327	239320	347233	2244	873	2173	524	388	517	469	221	305	136	65
EC-07A	1104547380	36652	291	36943	48826	15460	20743	133	34	125	20	16	36	26	28	19	8	4
EC-07B	1104549360	51110	509	51619	64864	20093	30418	151	59	170	48	25	49	42	19	25	4	7
EC-07C	1104549180	49253	481	49734	64111	17438	31157	164	73	179	49	32	60	42	17	29	8	5
EC-07D	1104552420	65546	572	66118	82282	25767	38779	296	100	268	68	53	64	70	15	41	17	8
EC-07E	1104553680	74929	654	75583	89156	31489	42304	301	112	354	71	61	82	60	29	39	16	11
EC-07F	1104553320	69530	699	70229	85786	27764	40558	354	112	350	84	53	68	78	27	40	28	14
EC-07G	1104550860	56265	498	56763	73737	21330	34259	221	64	176	47	27	41	32	31	25	9	3
EC-07H	1104550020	52678	520	53198	71425	27166	24972	199	85	104	24	30	23	28	11	23	11	2
EC-07I	1104551880	61779	560	62339	78496	24570	36424	222	107	211	54	40	43	39	20	27	17	5
EC-07J	1104551040	57949	495	58444	73606	22164	35002	194	80	233	54	49	47	48	19	35	18	6
EC-07P	1104546780	18777	261	19038	19038	6079	12617	9	47	3	5	2	4	4	5	2	0	0
EC-08	1104552840	451722	4077	455799	577327	165837	279411	1687	554	1877	524	277	451	451	140	320	119	74
EC-08A	1104552660	66173	879	67052	82636	28015	36916	370	87	330	109	52	73	83	32	54	33	19
EC-08B	1104552300	64118	571	64689	82128	22366	40567	294	75	368	90	45	98	88	19	71	27	10
EC-08C	1104552840	67246	570	67816	84867	25103	41091	279	68	326	98	43	63	79	20	51	18	7
EC-08D	1104551100	58237	458	58695	75953	19771	37641	197	58	229	84	47	55	78	17	37	14	9
EC-08E	1104550560	55354	415	55769	73005	19288	35319	191	96	216	51	29	68	42	11	30	5	8
EC-08F	1104551760	61322	483	61805	79784	22941	37829	127	77	162	36	23	37	26	19	28	10	7
EC-08G	1104552360	65065	568	65633	84614	24225	40027	226	66	242	52	36	50	53	15	48	12	13
EC-08P	1104546420	14207	133	14340	14340	4128	10021	3	27	4	4	2	7	2	7	1	0	1
EC-09	1104555600	319925	2928	322853	406270	112712	202918	1066	430	1217	370	162	352	290	84	196	100	28
EC-09A	1104553080	68789	645	69434	88528	24784	42897	292	100	298	84	43	110	81	19	52	21	8
EC-09B	1104550980	56713	492	57205	72862	19290	36615	211	81	247	57	30	47	56	16	38	19	6
EC-09C	1104554280	80319	695	81014	102009	25992	53291	232	107	307	93	38	103	66	24	41	24	1
EC-09D	1104555600	104513	1012	105525	133196	40006	63197	330	117	364	133	50	91	86	25	65	36	13
EC-09P	1104546180	9591	84	9675	9675	2640	6918	1	25	1	3	1	1	1	0	0	0	0
EC-10	1104545700	7868	656	8524	707970	5523	1967	72	120	34	24	21	12	15	29	31	16	4
EC-10-D	1104545700	3599	107	3706	3706	2548	979	26	1	12	1	6	2	4	4	10	4	2
EC-10A	1104545220	263	13	276	52986	98	139	3	3	3	2	1	0	0	10	4	0	0
EC-10B	1104545280	263	15	278	62781	191	53	3	0	3	2	1	3	2	2	0	3	0
EC-10C	1104545160	260	7	267	67133	148	97	2	0	3	2	2	2	0	0	3	1	0
EC-10D	1104545400	340	17	357	68783	256	64	11	0	1	1	3	0	0	0	3	1	0
EC-10E	1104545460	362	26	388	63752	267	54	14	1	5	5	4	3	4	1	2	2	0
EC-10F	1104545100	64	1	65	55499	52	11	0	1	0	0	0	0	0	0	0	0	0
EC-10G	1104544980	35	4	39	47188	25	9	0	0	0	1	0	0	0	0	0	0	0
EC-10H	1104545040	50	3	53	62022	33	10	2	0	0	2	0	0	1	1	1	0	0
EC-10I	1104545340	308	5	313	70251	198	100	2	2	1	0	1	0	0	0	4	0	0
EC-10J	1104545520	438	17	455	62089	301	124	4	3	2	1	0	0	0	1	1	1	0
EC-10K	1104544860	1	0	1	89454	1	0	0	0	0	0	0	0	0	0	0	0	0
EC-10P	1104545640	1885	441	2326	2326	1405	327	5	109	4	7	3	2	4	10	3	4	2
EC-11	1104548100	84476	1398	85874	515573	65798	17197	520	115	286	133	62	71	68	69	107	27	23
EC-11-D	1104546480	14620	181	14801	14801	9176	5212	80	10	71	9	6	12	2	8	25	5	4
EC-11A	1104546840	23065	361	23426	78906	20463	2183	160	21	54	50	21	18	21	18	44	7	5
EC-11B	1104548100	42262	766	43028	104884	33553	7936	276	62	155	68	33	37	40	37	37	15	13
EC-11C	1104545580	891	11	902	66596	372	510	2	1	1	1	1	2	1	0	0	0	0
EC-11P	1104545760	3638	79	3717	250386	2234	1356	2	21	5	5	1	2	4	6	1	0	1
EC-12	1104554520	152837	1778	154615	323337	121514	28836	892	225	578	149	142	124	43	104	153	59	18
EC-12A	1104547860	40369	503	40872	91410	28482	11105	214	43	253	52	37	52	12	43	44	28	4
EC-12B	1104554520	82428	970	83398	147979	65401	15798	474	136	265	51	73	51	20	41	93	18	7
EC-12C	1104546960	25489	247	25736	79339	24142	905	201	28	58	42	29	19	10	19	16	13	7
EC-12P	1104545820	4551	58	4609	4609	3489	1028	3	18	2	4	3	2	1	1	0	0	0
EC-13	1104555540	285267	2941	288208	407918	159198	122329	1091	331	1072	188	203	297	134	82	215	89	38
EC-13A	1104555540	103179	949	104128	136738	44218	57624	275	131	418	86	58	127	89	37	55	45	16
EC-13B	1104548760	46641	517	47158	66666	24969	21029	220	34	201	21	26	54	7	13	57	7	3
EC-13C	1104547680	38779	456	39235	62251	29316	8951	175	68	125	15	43	19	9	13	33	9	3
EC-13D	1104554700	84359	863	85222	129798	55467	27704	419	76	314	55	73	93	29	18	68	27	16
EC-13P	1104546360	12309	156	12465	12465	5228	7021	2	22	14	11	3	4	0	1	2	1	0
EC-14	1104550200	150334	2094	152428	477540	92197	55680	792	276	558	157	132	157	71	67	165	56	26
EC-14-D	1104544920	30	0	30	30	19	11	0	0	0	0	0	0	0	0	0	0	0
EC-14A	1104547740	39759	406	40165	66126	17835	21353	142	56	153	50	29	50	26	14	35	9	7
EC-14B	1104550200	53106	956	54062	91095	41369	10878	299	133	138	65	56	37	27	33	38	24	9
EC-14C	1104549000	48808	542	49350	81534	29061	18817	338	45	257	32	45	65	16	18	82	22	10
EC-14P	1104546060	8631	190	8821	238755	3913	4621	13	42	10	10	2	5	2	2	10	1	0
EC-15	1104553800	896497	8458	904955	1162099	418809	468507	2357	1142	2369	695	524	613	566	255	363	187	110
EC-15A	1104553260	69335	610	69945	91698	30720	37876	163	64	219	66	33	67	43	21	38	17	8
EC-15B	1104552180	63332	532	63864	83696	29691	32978	159	56	195	50	54	43	49	9	31	10	7
EC-15C	1104553800	75322	728	76050	100497	34469	40136	214	51	165	64	41	67	52	18	14	18	13
EC-15D	1104552120	62900	793	63693	86112	31412	30785	171	80	185	59	44	41	50	22	35	11	5
EC-15E	1104549960	52618	540	53158	68194	22919	29155	125	85	137	47	29	31	30	19	28	8	5
EC-15F	1104549900	52350	392	52742	67023	25456	26365	156	57	115	63	25	29	36	11	15	16	6
EC-15G	1104551700	61195	394	61589	78140	29941	30624	168	77	172	44	26	43	33	21	28	13	5
EC-15H	1104552900	67582	522	68104	85753	31580	35311	183	109	159	51	37	38	46	19	29	8	12
EC-15I	1104553140	68892	658	69550	89722	33874	34357	206	89	145	39	45	33	37	23	26	8	10
EC-15J	1104552960	67741	599	68340	85455	29818	37231	175	104	190	40	51	41	41	10	19	14	7
EC-15K	1104550140	53467	437	53904	69821	25317	27581	138	72	155	32	30	39	39	18	24	11	11
EC-15L	1104551340	58896	625	59521	77003	29564	28791	136	90	147	24	37	40	22	18	12	14	1
EC-15M	1104551280	58867	607	59474	77819	28658	29513	172	83	201	48	38	43	38	19	30	13	11
EC-15N	1104548700	46391	607	46998	63143	21100	24658	181	42	166	51	29	48	40	21	28	20	7
EC-15P	1104547500	37609	414	38023	38023	14290	23146	10	83	18	17	5	10	10	6	6	6	2
EC-16	1104553620	333783	3536	337319	478032	169264	160686	1063	502	811	287	214	292	203	175	183	72	31
EC-16A	1104551820	60891	1028	61919	95350	40060	19939	324	65	182	77	38	55	36	42	52	15	6
EC-16B	1104553200	69139	632	69771	96744	30358	38002	202	73	202	46	47	91	43	24	39	9	3
EC-16C	1104553620	74378	685	75063	102987	37372	36115	234	119	189	68	49	59	50	44	49	22	8
EC-16D	1104550800	56150	445	56595	79631	26367	29227	131	96	96	50	33	41	30	48	13	13	5
EC-16E	1104552540	65906	637	66543	95892	32191	33040	169	123	137	43	47	45	42	17	30	13	9
EC-16P	1104545940	7319	109	7428	7428	2916	4363	3	26	5	3	0	1	2	0	0	0	0
EC-17	1104554340	419434	4563	423997	562259	182956	231040	1378	478	1448	569	261	428	367	115	207	115	72
EC-17A	1104549480	51427	446	51873	71396	21647	29071	192	54	192	81	33	69	31	14	19	14	10
EC-17B	1104549060	49011	481	49492	68066	22027	26330	184	34	201	70	20	54	45	7	15	14	10
EC-17C	1104551460	59764	563	60327	80971	25382	33726	155	82	169	65	32	54	44	14	25	11	5
EC-17D	1104551940	62384	671	63055	86433	29829	31575	262	77	250	107	61	74	62	21	34	21	11
EC-17E	1104554340	80879	836	81715	106717	33758	46073	247	107	256	99	54	80	94	18	45	28	20
EC-17F	1104547800	39925	429	40354	54554	16897	22454	136	37	160	54	26	43	49	18	31	13	7
EC-17G	1104549420	51224	506	51730	68671	24314	26220	181	53	196	65	32	46	37	20	37	14	9
EC-17P	1104546900	24820	631	25451	25451	9102	15591	21	34	24	28	3	8	5	3	1	0	0
EC-18	1104555240	210030	2002	212032	271609	97142	110499	589	226	683	226	141	221	119	31	81	48	24
EC-18A	1104550620	55587	536	56123	72430	23819	31081	176	65	199	52	39	61	43	6	28	12	6
EC-18B	1104550080	53388	402	53790	69230	25533	27230	181	42	172	61	48	50	25	5	18	15	8
EC-18C	1104555240	93183	936	94119	121949	44951	47188	231	112	308	106	51	108	47	19	32	20	10
EC-18P	1104546000	7872	128	8000	8000	2839	5000	1	7	4	7	3	2	4	1	3	1	0
EC-19	1104551640	426599	6825	433424	550926	226582	192734	2327	614	1990	468	363	401	322	224	239	217	118
EC-19A	1104551640	60523	947	61470	78986	32592	26877	286	79	307	100	51	67	62	28	38	24	12
EC-19B	1104547320	34094	611	34705	45049	16423	16803	258	45	268	67	48	48	45	25	29	27	8
EC-19C	1104548040	41491	874	42365	54910	25176	15717	135	53	207	30	38	39	18	29	20	19	10
EC-19D	1104547440	36623	512	37135	48670	18624	17494	155	58	129	29	29	30	15	16	22	14	8
EC-19E	1104548400	44511	785	45296	57900	23638	19946	310	73	249	50	46	27	53	35	36	29	19
EC-19F	1104548340	44218	588	44806	55655	22127	21387	227	78	165	46	26	53	33	20	21	23	12
EC-19G	1104549300	50645	640	51285	64481	26108	23736	281	76	200	47	41	49	41	8	23	18	17
EC-19H	1104550500	54393	888	55281	71292	29137	24294	315	65	285	61	46	41	32	36	26	37	18
EC-19I	1104548160	42582	736	43318	56220	25935	15856	354	51	174	29	35	45	17	24	24	25	13
EC-19P	1104546660	17519	244	17763	17763	6822	10624	6	36	6	9	3	2	6	3	0	1	1
EC-20	1104555300	221450	2636	224086	285327	92244	126094	673	239	943	295	133	286	200	102	124	73	44
EC-20A	1104549600	51612	567	52179	68660	22103	28663	169	56	280	64	43	69	59	32	38	23	13
EC-20B	1104552720	66318	897	67215	87943	27754	37575	254	66	304	86	37	87	56	31	31	23	14
EC-20C	1104555300	94419	1055	95474	119506	39117	54066	248	101	352	137	52	127	84	38	54	26	17
EC-20P	1104546120	9101	117	9218	9218	3270	5790	2	16	7	8	1	3	1	1	1	1	0
EC-21	1104555180	555074	5510	560584	678909	252838	294260	2220	795	2122	645	393	557	496	134	330	206	78
EC-21A	1104552780	67302	502	67804	83705	29255	37243	254	77	210	69	42	62	34	12	25	12	7
EC-21B	1104554400	81572	720	82292	100230	37253	43251	259	111	276	73	73	91	83	14	48	27	13
EC-21C	1104550380	54537	570	55107	65445	27178	26511	257	100	206	64	36	53	50	17	36	25	4
EC-21D	1104553440	70587	836	71423	87938	34049	35410	314	100	306	91	50	62	95	22	48	31	9
EC-21E	1104553020	68605	805	69410	84595	34413	33169	309	87	278	82	48	73	44	10	41	33	18
EC-21F	1104552480	65582	560	66142	78157	29987	34569	324	111	271	71	50	59	46	18	40	26	10
EC-21G	1104548280	43860	414	44274	52156	18740	24463	176	67	175	47	37	58	33	15	26	16	7
EC-21H	1104555180	92479	961	93440	115991	38163	52947	324	107	398	142	57	97	110	24	66	34	10
EC-21P	1104546300	10550	142	10692	10692	3800	6697	3	35	2	6	0	2	1	2	0	2	0
EC-22	1104552240	468773	4795	473568	601872	223483	239184	1804	707	1457	437	355	375	400	152	231	117	71
EC-22A	1104552240	63283	613	63896	80201	30391	32231	176	84	125	47	50	52	57	14	36	10	10
EC-22B	1104548880	47616	443	48059	61932	21875	25086	198	60	154	55	39	37	57	19	21	10	5
EC-22C	1104548940	48438	421	48859	63755	20451	27444	150	73	123	46	33	36	31	16	19	10	6
EC-22D	1104548460	45178	496	45674	59711	20078	24559	139	82	121	38	37	30	33	19	25	11	6
EC-22E	1104551220	58709	602	59311	78208	32203	25701	220	111	194	60	52	45	49	15	33	17	9
EC-22F	1104547560	37846	434	38280	49586	18906	18391	179	53	121	40	30	33	42	7	22	17	5
EC-22G	1104549780	51874	536	52410	65737	26056	25080	242	60	190	48	41	48	32	24	25	15	13
EC-22H	1104549720	51909	481	52390	65989	24684	26522	224	70	175	46	36	52	42	16	24	9	9
EC-22I	1104548520	45573	526	46099	58163	22087	22653	272	69	248	51	37	36	52	21	23	18	6
EC-22P	1104546720	18347	243	18590	18590	6752	11517	4	45	6	6	0	6	5	1	3	0	2
LK-1	1104555840	2819387	31120	2850507	3657887	1317434	1472822	8041	5022	6349	2245	1634	1618	1414	968	1155	456	229
LK-11	1104555840	1114250	12879	1127129	1486021	569627	534431	2628	2174	2057	775	601	519	422	410	398	134	74
LK-12	1104555420	1089277	11724	1101001	1390691	481764	596698	2790	1983	2371	856	609	631	570	343	418	157	87
LK-13	1104554760	615860	6517	622377	781175	266043	341693	2623	865	1921	614	424	468	422	215	339	165	68
LK-2	1104555900	1319115	19012	1338127	1720797	763515	535755	6609	1809	5271	1360	952	913	1011	548	677	432	263
LK-21	1104555660	712620	9817	722437	933754	387150	315672	2775	1091	2589	717	529	487	584	307	372	219	128
LK-22	1104554640	250620	3785	254405	332515	125937	120533	1212	342	1217	356	208	224	228	95	141	76	51
LK-23	1104555900	355875	5410	361285	454528	250428	99550	2622	376	1465	287	215	202	199	146	164	137	84
LK-3	1104555600	1366115	12545	1378660	1734924	517869	829562	4997	1857	5267	1418	827	1320	1210	445	821	355	167
LK-31	1104553680	594468	5540	600008	751327	239320	347233	2244	873	2173	524	388	517	469	221	305	136	65
LK-32	1104552840	451722	4077	455799	577327	165837	279411	1687	554	1877	524	277	451	451	140	320	119	74
LK-33	1104555600	319925	2928	322853	406270	112712	202918	1066	430	1217	370	162	352	290	84	196	100	28
LK-4	1104548100	92344	2054	94398	1223543	71321	19164	592	235	320	157	83	83	83	98	138	43	27
LK-42	1104546840	23065	361	23426	78906	20463	2183	160	21	54	50	21	18	21	18	44	7	5
LK-43	1104548100	42262	766	43028	104884	33553	7936	276	62	155	68	33	37	40	37	37	15	13
LK-44	1104545580	891	11	902	66596	372	510	2	1	1	1	1	2	1	0	0	0	0
LK-45	1104544860	1	0	1	89454	1	0	0	0	0	0	0	0	0	0	0	0	0
LK-5	1104555540	588438	6813	595251	1208795	372909	206845	2775	832	2208	494	477	578	248	253	533	204	82
LK-51	1104554520	152837	1778	154615	323337	121514	28836	892	225	578	149	142	124	43	104	153	59	18
LK-52	1104555540	285267	2941	288208	407918	159198	122329	1091	331	1072	188	203	297	134	82	215	89	38
LK-53	1104550200	150334	2094	152428	477540	92197	55680	792	276	558	157	132	157	71	67	165	56	26
LK-6	1104553800	1230280	11994	1242274	1640131	588073	629193	3420	1644	3180	982	738	905	769	430	546	259	141
LK-61	1104553800	896497	8458	904955	1162099	418809	468507	2357	1142	2369	695	524	613	566	255	363	187	110
LK-62	1104553620	333783	3536	337319	478032	169264	160686	1063	502	811	287	214	292	203	175	183	72	31
LK-7	1104555240	629464	6565	636029	833868	280098	341539	1967	704	2131	795	402	649	486	146	288	163	96
LK-71	1104554340	419434	4563	423997	562259	182956	231040	1378	478	1448	569	261	428	367	115	207	115	72
LK-72	1104555240	210030	2002	212032	271609	97142	110499	589	226	683	226	141	221	119	31	81	48	24
LK-8	1104555300	648049	9461	657510	836253	318826	318828	3000	853	2933	763	496	687	522	326	363	290	162
LK-81	1104551640	426599	6825	433424	550926	226582	192734	2327	614	1990	468	363	401	322	224	239	217	118
LK-82	1104555300	221450	2636	224086	285327	92244	126094	673	239	943	295	133	286	200	102	124	73	44
LK-9	1104555180	1023847	10305	1034152	1280781	476321	533444	4024	1502	3579	1082	748	932	896	286	561	323	149
LK-91	1104555180	555074	5510	560584	678909	252838	294260	2220	795	2122	645	393	557	496	134	330	206	78
LK-92	1104552240	468773	4795	473568	601872	223483	239184	1804	707	1457	437	355	375	400	152	231	117	71
