entity_id	result_ut	valid	rejected	polled	electors	IND01	IND02	IND03	IND04	DUNF	OWORS	IND05	IND06	USP	RJA	DNM	NMPP	FSP	JSWP	IND07	OPPP	IND08	IND09	NDF	JSP	NSSP	NSU	IND10	IND11	SLPP	NUA	SLLP	IND12	IND13	SPSL	IND14	SEP	IND15	ONF	NPP
EC-02A	1573973901.342	103662	1418	105080	129912	64	70	22	12	191	17	12	6	28	57	27	3428	56	258	44	8	51	95	49463	111	9	9	41	129	48214	61	41	7	12	127	19	24	14	36	899
EC-02B	1573959867.048	83039	1430	84469	110551	50	91	28	24	159	11	15	4	24	76	29	4132	55	199	58	8	46	111	44032	69	6	16	35	128	31743	52	40	17	22	138	17	18	16	24	1546
EC-02C	1573966134.861	123180	1786	124966	153448	52	79	25	17	133	14	9	4	21	93	21	5343	59	351	52	12	35	73	43053	79	6	15	20	173	71565	92	32	19	27	247	18	12	8	46	1375
EC-02D	1573966467.536	92392	780	93172	110231	30	78	28	17	121	15	4	4	17	70	16	3117	57	179	27	7	25	64	32149	56	4	12	7	121	55371	54	19	13	26	221	13	13	6	32	399
EC-02E	1573968923.764	103279	981	104260	124599	48	96	38	22	139	11	10	7	27	74	26	4720	51	178	33	7	26	52	35184	77	5	25	13	139	61478	70	20	12	21	228	21	11	5	40	365
EC-02F	1573973682.268	114666	1123	115789	137067	43	86	25	18	127	9	14	7	17	86	34	5259	50	269	34	9	24	55	37212	76	8	16	11	129	69978	53	18	10	24	251	18	12	8	30	646
EC-02G	1573973830.759	113348	960	114308	135618	54	85	22	18	120	12	18	5	16	69	13	4829	51	252	46	8	39	63	39548	76	15	14	14	177	66850	71	21	17	23	231	15	15	5	33	503
EC-02H	1573978566.117	125547	1191	126738	151418	34	53	20	14	99	15	19	4	12	56	21	6256	108	627	28	6	29	47	31984	61	8	15	9	145	84507	60	17	31	22	247	11	28	7	15	932
EC-02I	1573971999.826	121997	1625	123622	153164	53	60	14	15	121	9	14	8	17	65	24	5556	54	313	48	13	30	73	41649	56	3	20	10	135	71690	78	34	10	20	201	18	26	8	25	1527
EC-02J	1573975895.65	130350	1166	131516	156924	35	87	18	16	98	10	8	4	14	68	26	5547	110	235	44	6	26	63	38407	82	6	7	13	157	83989	82	23	9	20	269	14	21	8	24	804
EC-02K	1573969566.033	101251	684	101935	117950	35	68	20	20	90	7	20	4	14	79	17	3070	45	229	35	6	32	41	28629	54	5	20	9	136	67754	70	17	14	23	272	19	19	9	28	341
EC-02L	1573972992.785	107938	902	108840	128417	30	58	11	5	71	2	10	2	13	52	14	4188	73	215	40	6	20	52	33715	58	4	10	14	126	68145	54	23	11	10	211	14	11	3	21	646
EC-02M	1573971270.284	75855	899	76754	93979	37	47	19	10	76	9	7	4	9	46	11	3134	30	138	26	7	25	43	27521	47	7	9	12	90	43668	41	15	8	13	122	8	7	4	16	589
EC-02P	1573941409.864	47296	806	48102	48614	19	13	2	1	8	2	3	2	2	17	2	3181	41	143	4	0	4	8	12125	26	1	2	3	17	30918	9	3	4	4	21	2	6	3	0	700
EC-03	1573971898.263	811763	6847	818610	955080	367	740	213	142	956	104	90	39	180	637	218	27681	739	1511	445	104	381	587	284213	556	75	172	114	1440	482920	590	273	136	253	1902	145	193	73	361	3213
EC-03A	1573966043.608	99028	827	99855	118719	33	59	16	14	85	15	9	3	16	55	20	3904	89	184	34	7	30	50	35761	54	5	13	11	137	57447	58	17	10	18	161	14	17	8	25	649
EC-03B	1573965771.538	120437	944	121381	140199	52	82	32	20	124	7	15	7	22	74	30	4312	108	206	59	14	44	87	38981	90	7	20	12	193	74879	77	32	15	36	295	4	24	10	35	432
EC-03C	1573967498.166	108583	883	109466	128005	47	105	33	21	120	17	11	3	19	81	35	3532	75	239	64	16	52	61	32967	64	13	23	14	146	69822	93	30	21	36	299	26	28	14	44	412
EC-03D	1573967888.595	70617	503	71120	82439	44	110	21	21	93	12	8	3	26	78	29	1468	74	169	42	13	50	67	25407	59	10	20	13	151	42021	68	34	18	25	187	20	25	12	50	169
EC-03E	1573971346.225	92566	786	93352	109804	46	111	22	24	139	14	9	7	31	84	25	3028	93	199	82	7	70	85	31451	81	15	29	17	164	55932	96	39	21	38	226	20	21	8	75	257
EC-03F	1573968645.648	99965	870	100835	119526	39	53	24	11	98	12	9	3	18	71	18	4034	109	157	40	7	30	59	34076	55	6	21	15	179	59796	75	27	18	30	241	21	29	8	34	542
EC-03G	1573971898.263	100954	885	101839	121686	49	97	33	16	142	16	15	4	15	78	24	3172	97	127	58	22	62	91	47654	86	9	23	14	266	48037	60	48	13	42	228	21	23	6	54	252
EC-03H	1573971300.768	85391	492	85883	99484	41	111	30	15	149	7	12	8	24	106	33	2319	67	182	62	10	35	83	28744	55	8	22	14	185	52400	53	45	18	24	243	17	19	7	40	203
EC-03P	1573944965.405	34222	657	34879	35218	16	12	2	0	6	4	2	1	9	10	4	1912	27	48	4	8	8	4	9172	12	2	1	4	19	22586	10	1	2	4	22	2	7	0	4	297
EC-04	1573979624.426	934875	9020	943895	1111860	572	1322	260	205	2109	139	120	74	264	895	274	23539	456	1639	797	165	815	991	417355	908	146	236	204	1733	471502	577	490	176	298	1824	266	181	147	577	3619
EC-04A	1573963796.413	43745	277	44022	51632	31	77	9	10	105	7	4	5	13	49	16	959	9	93	38	7	25	48	16839	39	8	12	4	78	24829	44	27	8	19	132	22	9	3	32	135
EC-04B	1573966087.534	132497	1135	133632	158903	56	137	26	31	245	16	17	5	38	139	42	3401	85	219	86	25	97	121	62044	108	25	43	17	227	64298	80	60	10	33	251	27	18	19	68	383
EC-04C	1573978493.451	71414	684	72098	86342	60	159	39	20	213	14	16	14	20	75	28	1439	39	123	81	21	102	94	35848	101	14	24	22	157	32057	35	50	21	30	153	33	19	21	64	208
EC-04D	1573972882.839	50478	345	50823	57764	38	78	17	10	135	9	8	7	17	56	15	748	16	98	36	11	45	68	19098	47	6	13	7	142	29334	50	38	8	23	120	18	12	7	38	105
EC-04E	1573971616.814	40368	422	40790	47510	31	85	8	15	109	6	9	6	13	58	16	681	23	79	53	13	51	57	18238	50	9	14	8	96	20296	28	28	10	16	84	17	5	3	46	107
EC-04F	1573979624.426	81370	700	82070	97309	39	91	20	18	143	6	10	5	19	72	20	2539	35	155	53	10	54	84	33293	62	10	20	19	137	43788	37	36	11	28	140	15	10	14	33	344
EC-04G	1573971826.522	57716	627	58343	69251	37	103	14	14	190	6	7	8	22	63	20	791	17	84	57	11	64	82	28166	60	9	19	17	125	27263	36	36	10	21	136	26	13	21	52	116
EC-04H	1573974438.029	66405	666	67071	82680	32	58	13	11	122	10	9	1	13	44	13	2189	28	162	29	9	29	50	27399	54	14	5	14	86	35242	40	28	11	15	112	15	8	4	27	509
EC-04I	1573974503.993	31804	409	32213	40507	10	22	8	4	37	2	0	0	8	13	2	966	8	81	9	2	17	38	16334	25	0	5	11	33	13795	19	6	4	4	41	2	5	1	10	282
EC-04J	1573975971.31	66464	584	67048	79471	36	57	16	8	112	12	7	0	14	67	15	2021	32	125	49	3	42	51	24244	63	8	16	13	92	38765	42	20	9	16	146	11	14	7	29	302
EC-04K	1573974396.411	69607	563	70170	82842	42	93	18	9	146	17	8	5	15	51	23	1913	40	109	61	8	53	72	33131	67	4	13	9	122	33003	42	35	12	24	126	22	11	11	31	261
EC-04L	1573974279.865	87881	816	88697	105054	77	171	25	27	244	19	10	8	21	98	28	1469	48	118	112	17	117	93	46531	118	20	24	20	192	37648	52	62	23	30	160	21	19	17	61	181
EC-04M	1573975778.812	80567	1030	81597	96659	60	178	45	26	284	14	11	6	44	102	34	1740	36	138	126	24	116	127	39887	102	18	26	36	224	36436	62	63	35	36	189	31	31	19	82	179
EC-04P	1573963963.717	54559	762	55321	55936	23	13	2	2	24	1	4	4	7	8	2	2683	40	55	7	4	3	6	16303	12	1	2	7	22	34748	10	1	4	3	34	6	7	0	4	507
EC-05	1573978350.937	339221	3252	342473	401496	170	459	114	77	825	52	52	17	90	422	97	8890	148	645	267	65	301	360	134291	341	48	106	67	724	187821	261	159	56	113	850	92	80	50	212	899
EC-05A	1573974837.369	111572	1000	112572	132221	41	120	31	21	240	14	13	6	24	141	36	3221	58	255	78	15	60	89	37717	101	13	30	20	222	68177	84	32	15	33	307	30	23	8	56	241
EC-05B	1573970726.015	60378	501	60879	69632	26	69	23	13	177	6	13	2	17	90	16	1070	25	123	65	14	47	62	21384	53	8	30	8	159	36363	68	36	14	31	179	12	11	14	43	107
EC-05C	1573969739.265	69261	812	70073	84846	33	102	32	17	159	11	11	4	16	68	18	1895	19	108	40	16	72	71	33251	77	5	19	22	140	32486	48	37	8	24	129	27	21	8	44	223
EC-05D	1573978350.937	77203	678	77881	93503	56	156	26	25	232	19	15	5	30	118	26	1717	33	147	83	19	118	135	35774	109	22	27	17	187	37390	54	53	19	24	222	23	23	16	68	215
EC-05P	1573942242.276	20807	261	21068	21294	14	12	2	1	17	2	0	0	3	5	1	987	13	12	1	1	4	3	6165	1	0	0	0	16	13405	7	1	0	1	13	0	2	4	1	113
EC-06	1573970069.064	476864	7155	484019	569028	350	1363	202	144	2130	129	108	47	281	743	248	5891	180	969	938	164	1217	966	277913	732	146	217	349	1260	175823	405	546	246	296	949	296	173	170	534	739
EC-06A	1573970069.064	262790	4358	267148	318528	203	879	122	87	1348	79	63	34	193	406	174	2256	99	564	592	104	891	653	174413	486	89	133	253	702	75499	229	344	176	176	502	177	125	107	339	293
EC-06B	1573964711.481	67459	833	68292	80139	41	157	23	16	212	19	8	3	25	97	30	1057	22	112	115	17	123	96	36901	84	22	27	27	166	27572	60	54	26	34	116	39	12	15	51	80
EC-06C	1573960475.459	59046	680	59726	69644	38	110	29	15	261	15	15	5	30	105	11	1153	22	114	93	22	88	88	24995	46	8	25	21	160	30999	38	59	11	41	159	22	16	18	63	151
EC-06D	1573959572.721	69892	978	70870	82593	57	207	28	25	299	14	21	4	30	130	31	787	33	161	136	20	114	128	33908	108	27	31	44	227	32602	71	89	32	45	162	56	17	30	78	140
EC-06P	1573943144.484	17677	306	17983	18124	11	10	0	1	10	2	1	1	3	5	2	638	4	18	2	1	1	1	7696	8	0	1	4	5	9151	7	0	1	0	10	2	3	0	3	75
EC-07	1573963522.876	725358	5878	731236	858749	251	515	202	130	762	63	85	51	153	700	246	27006	879	1421	407	120	296	471	217401	408	87	155	110	1216	466148	592	189	121	288	1666	155	172	80	270	2542
EC-07A	1573958885.344	42658	306	42964	52844	9	36	9	6	39	5	3	3	6	38	10	1127	21	85	22	9	12	27	12567	23	2	6	10	77	28185	28	11	12	12	91	8	29	3	15	112
EC-07B	1573941633.84	63129	525	63654	75507	15	35	15	13	71	10	4	2	19	74	22	2480	87	148	27	6	19	37	17793	33	10	22	14	105	41528	49	9	11	24	156	16	12	7	22	234
EC-07C	1573959627.634	60693	415	61108	73981	20	41	23	14	49	7	7	3	19	65	43	2199	165	141	32	10	31	42	14437	38	7	11	4	122	42664	77	12	12	23	177	13	15	4	23	143
EC-07D	1573952514.585	74566	499	75065	88427	32	68	28	16	98	4	13	9	15	79	30	2511	127	171	41	31	36	56	20606	44	12	21	12	114	49734	50	21	12	50	222	16	21	12	41	213
EC-07E	1573959910.265	86651	624	87275	100295	35	75	30	16	105	6	10	8	19	102	31	2479	74	183	56	13	56	72	28046	60	15	24	12	184	54299	85	29	24	35	209	31	17	12	35	164
EC-07F	1573963522.876	81334	657	81991	95503	41	81	23	14	120	10	12	8	24	97	24	2811	86	176	61	12	33	64	24945	50	9	15	18	170	51698	82	29	14	38	229	18	19	12	53	238
EC-07G	1573957460.362	62947	581	63528	76853	22	30	16	16	74	4	8	5	16	56	22	1896	50	97	39	8	27	43	17062	32	13	19	14	89	42756	67	16	10	38	157	18	18	7	26	176
EC-07H	1573946961.906	66638	673	67311	80618	29	30	17	8	51	7	6	1	13	28	15	3044	51	95	42	7	30	49	31248	48	6	13	7	93	31108	29	18	7	12	63	13	11	4	11	424
EC-07I	1573957818.701	80875	605	81480	95614	16	69	24	16	89	6	13	3	8	77	25	3745	74	163	49	8	28	41	24117	31	5	14	7	129	51418	65	16	9	26	196	8	12	7	21	340
EC-07J	1573945866.469	68675	600	69275	81062	21	41	16	9	61	3	5	7	9	73	18	2264	92	122	36	11	20	29	17487	37	6	8	8	119	47659	50	24	8	28	148	14	14	9	22	197
EC-07P	1573935954.393	37192	393	37585	38045	11	9	1	2	5	1	4	2	5	11	6	2450	52	40	2	5	4	11	9093	12	2	2	4	14	25099	10	4	2	2	18	0	4	3	1	301
EC-08	1573972035.503	556868	3782	560650	652417	187	375	134	95	538	43	64	29	99	508	164	23439	294	947	242	59	212	381	149026	339	42	103	80	1111	374481	463	160	85	166	1086	79	126	58	217	1436
EC-08A	1573963899.627	85062	731	85793	100264	40	106	26	17	112	16	17	5	25	123	36	2786	64	196	55	17	65	80	25763	80	9	28	18	214	54472	78	52	21	41	192	25	27	16	63	177
EC-08B	1573972035.503	78471	419	78890	91543	33	59	26	19	76	7	8	3	22	87	31	2750	46	158	31	8	44	67	18346	47	4	19	18	202	55814	87	31	10	29	169	18	18	9	44	131
EC-08C	1573957548.175	80049	499	80548	93616	20	63	21	20	83	0	8	3	14	81	24	3787	29	124	39	16	23	77	21415	56	8	19	9	149	53478	65	24	18	24	137	8	24	10	24	149
EC-08D	1573958968.775	67304	396	67700	79236	27	36	21	9	71	7	12	5	11	60	15	2427	25	130	27	7	21	45	15517	40	4	7	6	114	48140	56	16	6	27	185	5	17	8	28	172
EC-08E	1573951745.113	64700	355	65055	77788	19	28	13	12	63	4	7	6	10	58	17	2760	29	74	25	3	12	37	17391	31	3	5	12	131	43556	61	11	13	14	121	8	14	6	20	126
EC-08F	1573959178.54	74150	563	74713	87076	19	27	12	6	46	2	3	3	6	38	15	4084	33	119	19	3	14	28	21747	39	6	10	6	87	47203	46	5	5	9	103	5	11	4	13	374
EC-08G	1573959819.514	79537	491	80028	94655	20	51	13	11	79	6	6	3	11	56	23	2692	42	116	41	4	31	45	23065	40	8	15	10	199	52439	59	21	11	21	168	9	12	5	25	180
EC-08P	1573950885.976	27595	328	27923	28239	9	5	2	1	8	1	3	1	0	5	3	2153	26	30	5	1	2	2	5782	6	0	0	1	15	19379	11	0	1	1	11	1	3	0	0	127
EC-09	1573969982.36	421374	3179	424553	485986	116	243	140	71	569	39	54	18	49	385	129	26295	250	782	175	48	157	295	108906	235	41	78	67	817	278804	356	108	66	184	845	85	69	43	129	726
EC-09A	1573966271.549	86966	691	87657	99833	20	47	15	10	101	9	13	9	8	91	32	4192	49	180	41	14	44	67	22329	51	4	23	18	201	58903	72	20	4	36	153	22	20	9	24	135
EC-09B	1573959756.667	64641	483	65124	75851	10	32	24	7	96	7	8	3	7	54	22	3793	38	91	22	11	23	50	17029	28	9	11	13	125	42668	56	25	11	22	163	13	8	8	23	131
EC-09C	1573969982.36	104525	696	105221	121212	25	59	45	22	142	9	9	2	15	97	40	7830	68	212	34	7	35	72	22141	57	10	20	19	206	72673	109	20	24	53	227	12	13	7	24	187
EC-09D	1573969331.365	146409	1007	147416	169555	57	101	55	32	225	13	23	4	18	139	33	8749	82	284	78	14	53	102	43460	90	15	23	16	276	91577	113	42	27	72	296	34	26	19	55	206
EC-09P	1573946368.486	18833	302	19135	19535	4	4	1	0	5	1	1	0	1	4	2	1731	13	15	0	2	2	4	3947	9	3	1	1	9	12983	6	1	0	1	6	4	2	0	3	67
EC-10	1573953890.032	372913	11251	384164	564984	1330	2471	541	478	6790	421	1635	159	683	532	523	1375	288	809	956	298	1039	1195	312722	1107	206	372	6845	1031	23261	359	928	335	491	660	744	325	357	917	730
EC-10A	1573944071.99	16211	479	16690	22651	72	117	37	31	382	23	112	9	36	54	28	30	15	93	42	10	47	59	11319	44	11	20	223	65	2917	21	44	30	32	70	41	58	22	50	47
EC-10B	1573950443.875	31825	1259	33084	47856	161	238	68	51	594	38	186	21	78	54	60	126	35	79	104	32	126	129	26238	93	25	44	727	119	1728	38	82	39	51	68	82	49	50	125	87
EC-10C	1573950282.216	28574	988	29562	63428	119	190	48	37	586	51	191	12	75	63	58	101	20	58	88	24	106	92	23773	86	23	37	475	99	1688	18	81	25	38	66	60	23	31	68	64
EC-10D	1573953890.032	37038	1210	38248	55783	160	281	54	65	790	46	183	24	86	65	63	102	31	89	103	33	108	122	31369	124	26	45	534	117	1859	40	103	26	48	54	87	17	29	88	67
EC-10E	1573951079.35	36953	1074	38027	57711	181	354	71	80	897	39	194	26	86	55	50	100	43	74	115	38	130	149	30835	123	23	48	462	145	1858	35	145	46	57	51	125	35	51	120	112
EC-10F	1573953560.382	23621	857	24478	38879	74	172	27	26	529	41	83	5	39	30	41	63	14	73	84	14	69	69	19307	69	16	31	942	65	1334	18	73	19	27	50	58	19	22	63	55
EC-10G	1573946832.152	24216	710	24926	36677	66	117	33	21	431	21	90	6	33	36	45	57	21	66	69	14	60	68	19931	79	6	25	644	77	1848	38	59	25	17	42	57	6	18	47	43
EC-10H	1573950574.563	33046	871	33917	53247	125	289	49	50	656	41	116	25	67	40	41	98	27	83	89	37	116	113	28007	123	21	29	377	89	1775	42	101	27	41	72	75	21	39	91	54
EC-10I	1573937478.631	32093	848	32941	46888	82	147	31	23	475	22	111	6	37	32	31	166	19	40	72	18	68	89	27605	78	7	17	659	74	1836	19	56	30	27	46	35	18	16	51	50
EC-10J	1573945139.98	24314	616	24930	33153	58	104	29	21	288	15	124	4	22	23	19	96	18	52	44	16	47	63	20792	75	9	17	466	42	1617	17	52	16	15	36	29	10	9	35	34
EC-10K	1573952081.99	63813	1782	65595	86670	195	406	74	57	1041	71	165	14	97	70	73	197	37	92	126	56	152	230	55585	205	39	41	526	129	3238	46	125	48	130	95	90	56	67	139	101
EC-10P	1573951232.582	21209	557	21766	22041	37	56	20	16	121	13	80	7	27	10	14	239	8	10	20	6	10	12	17961	8	0	18	810	10	1563	27	7	4	8	10	5	13	3	40	16
EC-11	1573958710.886	212778	3294	216072	282119	326	585	149	130	2546	116	259	45	184	179	165	1156	108	378	354	94	397	542	174739	418	107	126	1295	468	26105	140	253	93	146	287	221	75	86	290	216
EC-11A	1573951411.876	63265	837	64102	85394	79	150	41	27	695	36	62	13	59	71	39	180	34	161	109	24	121	143	53602	130	26	24	378	150	6435	39	61	35	42	94	57	19	13	59	57
EC-11B	1573958710.886	83701	1331	85032	113193	140	234	60	58	901	41	89	22	71	59	64	667	44	135	145	38	135	210	65141	140	48	66	522	191	13715	67	97	41	47	133	87	37	41	139	76
EC-11C	1573953263.658	55217	979	56196	72538	100	188	42	42	902	35	98	7	51	46	59	162	30	78	94	30	139	185	47594	143	32	33	251	116	4252	30	91	16	52	46	75	17	30	82	69
EC-11P	1573938153.015	10595	147	10742	10994	7	13	6	3	48	4	10	3	3	3	3	147	0	4	6	2	2	4	8402	5	1	3	144	11	1703	4	4	1	5	14	2	2	2	10	14
EC-12	1573965390.449	303221	4258	307479	398301	256	523	91	78	2363	103	114	20	161	263	129	2304	85	690	380	103	464	970	238649	512	73	136	800	13228	38460	163	317	144	147	480	327	52	63	302	271
EC-12A	1573963848.569	86692	924	87616	113665	63	148	30	21	648	27	32	7	53	105	36	300	31	346	96	30	145	255	65847	150	20	45	168	652	16663	62	63	72	60	237	69	17	21	88	85
EC-12B	1573964305.972	140082	2480	142562	181169	124	218	37	36	913	43	49	9	63	92	55	1499	32	211	176	41	184	519	109449	246	34	61	335	12122	12594	57	159	49	46	157	184	25	20	111	132
EC-12C	1573965390.449	65179	674	65853	91945	66	150	19	21	767	29	27	3	42	58	38	156	22	129	100	31	133	191	54132	113	18	30	238	188	7948	44	90	21	41	82	71	10	22	100	49
EC-12P	1573954704.17	11268	180	11448	11522	3	7	5	0	35	4	6	1	3	8	0	349	0	4	8	1	2	5	9221	3	1	0	59	266	1255	0	5	2	0	4	3	0	0	3	5
EC-13	1573968880.969	411570	3158	414728	503790	173	427	75	56	1019	52	51	18	89	196	74	7460	219	517	267	60	328	544	259673	425	54	79	369	2214	135058	223	156	87	105	730	123	51	52	182	364
EC-13A	1573968880.969	138616	772	139388	159857	25	81	22	14	217	10	16	5	24	88	22	3984	162	289	62	16	54	112	42241	96	13	23	27	298	89674	158	40	29	43	442	31	31	17	47	203
EC-13B	1573966612.892	67165	494	67659	85911	36	88	12	8	184	10	8	2	15	29	15	572	9	45	64	8	88	102	57910	105	17	16	60	410	7151	12	27	12	11	43	17	1	10	39	29
EC-13C	1573963675.562	56945	555	57500	74068	29	72	9	12	135	9	5	3	12	19	7	709	3	57	45	7	56	106	47309	58	6	18	117	644	7286	12	18	14	15	73	17	5	9	20	29
EC-13D	1573967848.66	125221	925	126146	159694	68	172	30	19	454	22	17	7	38	57	26	1061	30	110	94	29	126	217	100952	159	18	21	135	716	20116	36	69	29	33	160	55	14	15	69	47
EC-13P	1573944710.73	23623	412	24035	24260	15	14	2	3	29	1	5	1	0	3	4	1134	15	16	2	0	4	7	11261	7	0	1	30	146	10831	5	2	3	3	12	3	0	1	7	56
EC-14	1573961052.434	231410	1832	233242	281114	137	337	80	52	1101	40	51	27	99	138	81	3730	264	267	208	58	269	363	166841	274	39	70	489	945	54135	116	142	57	87	341	134	45	48	146	199
EC-14A	1573959111.069	62737	333	63070	72888	26	68	17	10	194	13	7	6	13	56	19	1598	189	113	56	13	48	61	28205	56	8	18	25	139	31303	66	21	19	30	177	24	11	13	34	81
EC-14B	1573961052.434	72537	762	73299	90881	68	131	41	25	438	21	26	15	51	42	41	713	36	80	61	23	92	107	56594	89	12	27	325	230	12818	30	64	22	25	84	51	22	16	59	58
EC-14C	1573957676.043	82276	576	82852	103197	40	128	21	17	451	4	17	6	35	34	18	809	18	61	87	22	127	192	74171	127	16	24	90	502	4925	17	54	15	30	61	56	9	17	45	30
EC-14P	1573941916.195	13860	161	14021	14148	3	10	1	0	18	2	1	0	0	6	3	610	21	13	4	0	2	3	7871	2	3	1	49	74	5089	3	3	1	2	19	3	3	2	8	30
EC-15	1573974179.912	1126610	8522	1135132	1331705	425	743	258	179	2223	110	124	55	213	905	264	36178	366	1895	457	163	508	808	416961	719	116	220	169	1736	652278	835	387	176	292	2689	185	171	117	389	3296
EC-15A	1573969383.345	84809	518	85327	99948	24	59	22	17	244	5	16	4	12	88	16	2553	23	179	41	7	40	64	30373	55	11	19	14	153	50185	72	31	16	31	260	10	9	10	33	113
EC-15B	1573969254.237	78507	477	78984	93010	30	68	14	14	247	19	12	7	14	81	14	2194	19	155	45	13	48	58	30286	56	12	18	7	138	44354	78	43	15	17	201	20	10	12	42	146
EC-15C	1573971945.581	93262	683	93945	110915	53	79	26	16	274	14	13	4	25	89	27	2944	20	153	30	19	55	67	32581	74	13	22	18	170	55823	100	43	9	27	239	13	12	10	44	156
EC-15D	1573974179.912	80861	590	81451	97456	32	65	24	12	198	10	6	2	21	81	18	2538	27	144	44	19	41	48	30232	56	10	11	17	134	46443	64	30	15	23	209	16	23	10	41	197
EC-15E	1573967025.813	63999	474	64473	75394	26	32	17	7	146	5	6	8	11	46	19	1984	13	113	27	6	25	49	20591	35	3	9	10	90	40261	46	15	9	17	167	4	10	9	16	167
EC-15F	1573966963.475	62279	419	62698	73474	23	43	10	6	134	4	10	5	3	50	13	1441	9	93	26	12	13	52	24238	34	4	10	18	91	35508	48	25	5	10	161	7	9	2	24	138
EC-15G	1573970644.779	74318	479	74797	89746	22	36	10	9	118	9	5	3	17	64	20	1514	28	158	41	10	35	65	29247	52	7	13	16	118	42161	51	22	26	19	170	11	13	9	14	205
EC-15H	1573973779.601	80486	517	81003	95449	30	50	15	21	95	2	10	3	14	51	20	2284	37	110	26	3	35	51	29041	46	5	9	12	129	47832	55	23	8	16	198	14	7	8	21	205
EC-15I	1573972626.237	84167	595	84762	100268	39	49	15	17	147	4	8	1	15	53	23	2159	63	113	30	4	40	60	35807	53	11	35	15	114	44701	61	20	11	15	193	15	15	6	39	216
